species,strain,sex,organ,finding,severity,n_studies,n_animals,n_affected,mean_incidence_pct,sd_incidence_pct,min_incidence_pct,max_incidence_pct,duration_category,source,confidence,notes,year_min,year_max,severity_scale_version,terminology_version,severity_distribution,source_page,source_table,source_row_label,extraction_pass,flags
CYNO,MACACA_FASCICULARIS,M,LUNG,foreign body granuloma,ANY,55,285,8,2.81,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / foreign body granuloma,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,foreign body granuloma,ANY,55,285,9,3.16,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / foreign body granuloma,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,hyperplasia of BALT,ANY,55,285,7,2.46,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / hyperplasia of BALT,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,hyperplasia of BALT,ANY,55,285,10,3.51,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / hyperplasia of BALT,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,bronchiolitis,ANY,55,285,5,1.75,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / bronchiolitis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,bronchiolitis,ANY,55,285,8,2.81,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / bronchiolitis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,emboli,ANY,55,285,7,2.46,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / emboli,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,emboli,ANY,55,285,5,1.75,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / emboli,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LUNG,vasculitis/vascular degeneration,ANY,55,285,5,1.75,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / vasculitis/vascular degeneration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LUNG,vasculitis/vascular degeneration,ANY,55,285,4,1.4,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Lung / vasculitis/vascular degeneration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,inflammatory cell foci,ANY,50,285,67,23.51,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / inflammatory cell foci,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,inflammatory cell foci,ANY,50,285,80,28.07,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / inflammatory cell foci,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,focal myocarditis,ANY,50,285,22,7.72,,0,66.7,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / focal myocarditis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,focal myocarditis,ANY,50,285,14,4.91,,0,66.7,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / focal myocarditis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,myocardial degeneration/fibrosis,ANY,50,285,19,6.67,,0,66.7,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / myocardial degeneration/fibrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,myocardial degeneration/fibrosis,ANY,50,285,13,4.56,,0,66.7,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / myocardial degeneration/fibrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,karyomegaly,ANY,50,285,8,2.81,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / karyomegaly,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,karyomegaly,ANY,50,285,8,2.81,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / karyomegaly,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,mucinous change,ANY,50,285,6,2.11,,0,20,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / mucinous change,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,mucinous change,ANY,50,285,7,2.46,,0,20,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / mucinous change,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,endocardiosis,ANY,50,285,6,2.11,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / endocardiosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,endocardiosis,ANY,50,285,4,1.4,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / endocardiosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,coronary intimal thickening,ANY,50,285,5,1.75,,0,25,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / coronary intimal thickening,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,coronary intimal thickening,ANY,50,285,5,1.75,,0,25,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / coronary intimal thickening,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,arteritis/periarteritis,ANY,50,285,3,1.05,,0,25,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / arteritis/periarteritis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,arteritis/periarteritis,ANY,50,285,4,1.4,,0,25,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / arteritis/periarteritis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,mineralization,ANY,50,285,0,0.0,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / mineralization,1,range_cross_sex|zero_cases
CYNO,MACACA_FASCICULARIS,F,HEART,mineralization,ANY,50,285,3,1.05,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / mineralization,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,HEART,squamous/epithelial cysts or plaques,ANY,50,285,1,0.35,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / squamous/epithelial cysts or plaques,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,HEART,squamous/epithelial cysts or plaques,ANY,50,285,2,0.7,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / squamous/epithelial cysts or plaques,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,AORTA,mucinous change,ANY,20,285,7,2.46,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / mucinous change,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,AORTA,mucinous change,ANY,20,285,8,2.81,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / mucinous change,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,AORTA,intimal thickening/degeneration,ANY,20,285,4,1.4,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / intimal thickening/degeneration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,AORTA,intimal thickening/degeneration,ANY,20,285,5,1.75,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / intimal thickening/degeneration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,AORTA,mineralization,ANY,20,285,3,1.05,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / mineralization,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,AORTA,mineralization,ANY,20,285,2,0.7,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / mineralization,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,inflammatory cell foci,ANY,58,285,166,58.25,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / inflammatory cell foci,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,inflammatory cell foci,ANY,58,285,180,63.16,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / inflammatory cell foci,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,diffuse hepatocyte vacuolation/lipidosis,ANY,58,285,18,6.32,,0,60,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / diffuse hepatocyte vacuolation/lipidosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,diffuse hepatocyte vacuolation/lipidosis,ANY,58,285,17,5.96,,0,60,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / diffuse hepatocyte vacuolation/lipidosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,tension lipidosis/focal lipidosis,ANY,58,285,7,2.46,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / tension lipidosis/focal lipidosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,tension lipidosis/focal lipidosis,ANY,58,285,26,9.12,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / tension lipidosis/focal lipidosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,glycogen vacuolation,ANY,58,285,14,4.91,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / glycogen vacuolation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,glycogen vacuolation,ANY,58,285,18,6.32,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / glycogen vacuolation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,focal necrosis/single cell necrosis,ANY,58,285,11,3.86,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / focal necrosis/single cell necrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,focal necrosis/single cell necrosis,ANY,58,285,11,3.86,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / focal necrosis/single cell necrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,subcapsular hemorrhage/fibrosis,ANY,58,285,11,3.86,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / subcapsular hemorrhage/fibrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,subcapsular hemorrhage/fibrosis,ANY,58,285,9,3.16,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / subcapsular hemorrhage/fibrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,bile duct hyperplasia/periportal fibrosis,ANY,58,285,7,2.46,,0,20,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / bile duct hyperplasia/periportal fibrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,bile duct hyperplasia/periportal fibrosis,ANY,58,285,4,1.4,,0,20,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / bile duct hyperplasia/periportal fibrosis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,pigment,ANY,58,285,5,1.75,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / pigment,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,LIVER,pigment,ANY,58,285,6,2.11,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / pigment,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,LIVER,ectopic adrenal gland,ANY,58,285,0,0.0,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / ectopic adrenal gland,1,range_cross_sex|zero_cases
CYNO,MACACA_FASCICULARIS,F,LIVER,ectopic adrenal gland,ANY,58,285,2,0.7,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / ectopic adrenal gland,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,GALL BLADDER,inflammatory cell infiltrations,ANY,16,285,5,1.75,,0,20,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Gall Bladder / inflammatory cell infiltrations,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,GALL BLADDER,inflammatory cell infiltrations,ANY,16,285,4,1.4,,0,20,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Gall Bladder / inflammatory cell infiltrations,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,EXOCRINE PANCREAS,inflammatory cell infiltrations,ANY,30,285,19,6.67,,0,66.7,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / inflammatory cell infiltrations,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,EXOCRINE PANCREAS,inflammatory cell infiltrations,ANY,30,285,17,5.96,,0,66.7,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / inflammatory cell infiltrations,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,EXOCRINE PANCREAS,acinar cell atrophy/duct cell hyperplasia,ANY,30,285,9,3.16,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / acinar cell atrophy/duct cell hyperplasia,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,EXOCRINE PANCREAS,acinar cell atrophy/duct cell hyperplasia,ANY,30,285,4,1.4,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / acinar cell atrophy/duct cell hyperplasia,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,EXOCRINE PANCREAS,acinar cell degranulation,ANY,30,285,4,1.4,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / acinar cell degranulation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,EXOCRINE PANCREAS,acinar cell degranulation,ANY,30,285,4,1.4,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / acinar cell degranulation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,EXOCRINE PANCREAS,accessory spleen,ANY,30,285,5,1.75,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / accessory spleen,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,EXOCRINE PANCREAS,accessory spleen,ANY,30,285,2,0.7,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Exocrine Pancreas / accessory spleen,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,SUBMAXILLARY SALIVARY GLAND,inflammatory cell infiltrations,ANY,49,285,50,17.54,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Submaxillary Salivary Gland / inflammatory cell infiltrations,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,SUBMAXILLARY SALIVARY GLAND,inflammatory cell infiltrations,ANY,49,285,71,24.91,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Submaxillary Salivary Gland / inflammatory cell infiltrations,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,SUBMAXILLARY SALIVARY GLAND,inflammation,ANY,49,285,7,2.46,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Submaxillary Salivary Gland / inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,SUBMAXILLARY SALIVARY GLAND,inflammation,ANY,49,285,4,1.4,,0,40,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Submaxillary Salivary Gland / inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,PAROTID SALIVARY GLAND,inflammatory cell infiltration,ANY,17,285,30,10.53,,0,100,,chamanza_2010,HIGH,see AMB-CHAMANZA-005 (dual footnote),2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid Salivary Gland / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,PAROTID SALIVARY GLAND,inflammatory cell infiltration,ANY,17,285,46,16.14,,0,100,,chamanza_2010,HIGH,see AMB-CHAMANZA-005 (dual footnote),2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid Salivary Gland / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,PAROTID SALIVARY GLAND,inflammation,ANY,17,285,14,4.91,,0,50,,chamanza_2010,HIGH,see AMB-CHAMANZA-005 (dual footnote),2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid Salivary Gland / inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,PAROTID SALIVARY GLAND,inflammation,ANY,17,285,18,6.32,,0,50,,chamanza_2010,HIGH,see AMB-CHAMANZA-005 (dual footnote),2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid Salivary Gland / inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,PAROTID SALIVARY GLAND,mineralized duct contents,ANY,17,285,8,2.81,,0,50,,chamanza_2010,HIGH,see AMB-CHAMANZA-005 (dual footnote),2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid Salivary Gland / mineralized duct contents,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,PAROTID SALIVARY GLAND,mineralized duct contents,ANY,17,285,6,2.11,,0,50,,chamanza_2010,HIGH,see AMB-CHAMANZA-005 (dual footnote),2003,2009,unknown,inhand_pre_2024,,3,Table 3,Parotid Salivary Gland / mineralized duct contents,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,STOMACH,gastritis,ANY,46,285,35,12.28,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / gastritis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,STOMACH,gastritis,ANY,46,285,35,12.28,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / gastritis,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,STOMACH,inflammatory cell infiltration,ANY,46,285,36,12.63,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,STOMACH,inflammatory cell infiltration,ANY,46,285,33,11.58,,0,100,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,STOMACH,lymphoid hyperplasia,ANY,46,285,10,3.51,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / lymphoid hyperplasia,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,STOMACH,lymphoid hyperplasia,ANY,46,285,6,2.11,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / lymphoid hyperplasia,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,STOMACH,parasitic granuloma,ANY,46,285,8,2.81,,0,75,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / parasitic granuloma,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,STOMACH,parasitic granuloma,ANY,46,285,7,2.46,,0,75,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / parasitic granuloma,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,STOMACH,focal muscle atrophy/degeneration,ANY,46,285,6,2.11,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / focal muscle atrophy/degeneration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,STOMACH,focal muscle atrophy/degeneration,ANY,46,285,6,2.11,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / focal muscle atrophy/degeneration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,STOMACH,gastric infarction/necrosis,ANY,46,285,1,0.35,,,,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / gastric infarction/necrosis,1,range_not_reported
CYNO,MACACA_FASCICULARIS,F,STOMACH,gastric infarction/necrosis,ANY,46,285,2,0.7,,,,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Stomach / gastric infarction/necrosis,1,range_not_reported
CYNO,MACACA_FASCICULARIS,M,SMALL INTESTINE,inflammatory cell infiltration,ANY,20,285,9,3.16,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small Intestine / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,SMALL INTESTINE,inflammatory cell infiltration,ANY,20,285,6,2.11,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small Intestine / inflammatory cell infiltration,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,SMALL INTESTINE,"pigmented macrophage, lamina propria",ANY,20,285,11,3.86,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,"Small Intestine / pigmented macrophage, lamina propria",1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,SMALL INTESTINE,"pigmented macrophage, lamina propria",ANY,20,285,4,1.4,,0,50,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,"Small Intestine / pigmented macrophage, lamina propria",1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,SMALL INTESTINE,inflammation,ANY,20,285,5,1.75,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small Intestine / inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,SMALL INTESTINE,inflammation,ANY,20,285,2,0.7,,0,12.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small Intestine / inflammation,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,SMALL INTESTINE,lacteal ectasia/edema,ANY,20,285,5,1.75,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small Intestine / lacteal ectasia/edema,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,F,SMALL INTESTINE,lacteal ectasia/edema,ANY,20,285,2,0.7,,0,37.5,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small Intestine / lacteal ectasia/edema,1,range_cross_sex
CYNO,MACACA_FASCICULARIS,M,SMALL INTESTINE,diffuse goblet cell hyperplasia,ANY,20,285,3,1.05,,0,66.7,,chamanza_2010,HIGH,,2003,2009,unknown,inhand_pre_2024,,4,Table 4,Small Intestine / diffuse goblet cell hyperplasia,1,range_cross_sex
