Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C221574	C65047		Laboratory Test Code	AARGS	Aggrecan Ala-Arg-Gly-Ser Neoepitope; Aggrecan Alanine-Arginine-Glycine-Serine Neoepitope; ARGS; ARGS-Aggrecan	A measurement of the aggrecan alanine-arginine-glycine-serine neoepitope (ARGS) in a biological specimen.	Aggrecan Alanine-Arginine-Glycine-Serine Neoepitope Measurement
C189527	C65047		Laboratory Test Code	AATZPL	AAT Z-Polymer; Alpha-1 Antitrypsin Z-Polymer	A measurement of the polymers of Z-variant alpha-1 antitrypsin in a biological specimen.	Alpha-1 Antitrypsin Z-Polymer Measurement
C199923	C65047		Laboratory Test Code	AB42AB40	Amyloid Beta 1-42/Amyloid Beta 1-40	A relative measurement (ratio) of the amyloid beta 1-42 to amyloid beta 1-40 in a biological specimen.	Amyloid Beta 1-42 to Amyloid Beta 1-40 Ratio Measurement
C225593	C65047		Laboratory Test Code	AB71A	Activation B7-1 Antigen; B-Lymphocyte Activation Antigen B7; CD28 Ligand; CD28LG1; CD80 Molecule; Soluble CD80; T-Lymphocyte Activation Antigen CD80	A measurement of the activation B7-1 antigen in a biological specimen.	Activation B7-1 Antigen Measurement
C184526	C65047		Laboratory Test Code	ABFBCA	AB-FUBINACA	A measurement of the synthetic cannabinoid AB-FUBINACA in a biological specimen.	AB-FUBINACA Measurement
C111124	C65047		Laboratory Test Code	ABNCE	Abnormal Cells	A measurement of the abnormal cells in a biological specimen.	Abnormal Cell Count
C150835	C65047		Laboratory Test Code	ABNCECE	Abnormal Cells/Total Cells	A relative measurement (ratio or percentage) of abnormal cells to total cells in a biological specimen.	Abnormal Cells to Total Cells Ratio Measurement
C150834	C65047		Laboratory Test Code	ABNCELE	Abnormal Cells/Leukocytes	A relative measurement (ratio or percentage) of abnormal cells to leukocytes in a biological specimen.	Abnormal Cells to Leukocytes Ratio Measurement
C125939	C65047		Laboratory Test Code	ABO	ABO Blood Group	The characterization of the blood type of an individual by testing for the presence of A antigen and B antigen on the surface of red blood cells.	ABO Blood Group Determination
C135397	C65047		Laboratory Test Code	ABOA1	ABO A1 Subtype	The characterization of the ABO blood group A1 subtype in an individual. (NCI)	ABO A1 Subtype Determination
C204641	C65047		Laboratory Test Code	ABP4	4-ABP; 4-Aminobiphenyl	A measurement of the 4-aminobiphenyl in a specimen.	4-Aminobiphenyl Measurement
C184527	C65047		Laboratory Test Code	ABPNCA	AB-PINACA	A measurement of the synthetic cannabinoid AB-PINACA in a biological specimen.	AB-PINACA Measurement
C74699	C65047		Laboratory Test Code	ACANT	Acanthocytes	A measurement of the acanthocytes in a biological specimen.	Acanthocyte Count
C74633	C65047		Laboratory Test Code	ACANTRBC	Acanthocytes/Erythrocytes	A relative measurement (ratio or percentage) of acanthocytes to all erythrocytes in a biological specimen.	Acanthocyte to Erythrocyte Ratio Measurement
C221549	C65047		Laboratory Test Code	ACC	ACC; Acetyl-CoA Carboxylase	A measurement of the total acetyl-CoA carboxylase in a biological specimen.	Acetyl-CoA Carboxylase Measurement
C221550	C65047		Laboratory Test Code	ACCP	pACC; pAcetyl-CoA Carboxylase; Phosphorylated Acetyl-CoA Carboxylase	A measurement of the phosphorylated acetyl-CoA carboxylase in a biological specimen.	Phosphorylated Acetyl-CoA Carboxylase Measurement
C221551	C65047		Laboratory Test Code	ACCPACC	pACC/ACC; pAcetyl-CoA Carboxylase/ACC; Phosphorylated Acetyl-CoA Carboxylase/Acetyl-CoA Carboxylase	A relative measurement (ratio or percentage) of the phosphorylated acetyl-CoA carboxylase to total acetyl-CoA carboxylase in a biological specimen.	Phosphorylated Acetyl-CoA Carboxylase to Acetyl-CoA Carboxylase Ratio Measurement
C80169	C65047		Laboratory Test Code	ACE	Angiotensin Converting Enzyme	A measurement of the angiotensin converting enzyme in a biological specimen.	Angiotensin Converting Enzyme Measurement
C135398	C65047		Laboratory Test Code	ACETAMIN	Acetaminophen; Paracetamol	A measurement of the acetaminophen in a biological specimen.	Acetaminophen Measurement
C92247	C65047		Laboratory Test Code	ACETOAC	Acetoacetate; Acetoacetic Acid	A measurement of the acetoacetic acid in a biological specimen.	Acetoacetic Acid Measurement
C147288	C65047		Laboratory Test Code	ACETONE	Acetone	A measurement of the acetone in a specimen.	Acetone Measurement
C74838	C65047		Laboratory Test Code	ACH	Acetylcholine	A measurement of the acetylcholine hormone in a biological specimen.	Acetylcholine Measurement
C96560	C65047		Laboratory Test Code	ACHE	Acetylcholinesterase	A measurement of the acetylcholinesterase in a biological specimen.	Acetylcholinesterase Measurement
C80163	C65047		Laboratory Test Code	ACPHOS	Acid Phosphatase	A measurement of the acid phosphatase in a biological specimen.	Acid Phosphatase Measurement
C147289	C65047		Laboratory Test Code	ACRNCRNF	Acylcarnitine/Carnitine, Free	A relative measurement (ratio or percentage) of the acylcarnitine to free carnitine in a biological specimen.	Acylcarnitine to Free Carnitine Ratio Measurement
C204643	C65047		Laboratory Test Code	ACROLEIN	Acrolein	A measurement of the acrolein in a specimen.	Acrolein Measurement
C204644	C65047		Laboratory Test Code	ACRYNTRL	Acrylonitrile	A measurement of the acrylonitrile in a specimen.	Acrylonitrile Measurement
C189522	C65047		Laboratory Test Code	ACSPGM	Acid Sphingomyelinase	A measurement of the acid sphingomyelinase in a biological specimen.	Sphingomyelin Phosphodiesterase Measurement
C103348	C65047		Laboratory Test Code	ACT	Activated Clotting Time; Activated Coagulation Time	A measurement of the inhibition of blood coagulation in response to anticoagulant therapies.	Activated Coagulation Time
C189521	C65047		Laboratory Test Code	ACTACEXR	Acetoacetate Excretion Rate; Acetoacetic Acid Excretion Rate	A measurement of the amount of acetoacetic acid being excreted in a biological specimen over a defined period of time (e.g. one hour).	Acetoacetic Acid Excretion Rate Measurement
C204642	C65047		Laboratory Test Code	ACTALD	Acetaldehyde	A measurement of the acetaldehyde in a specimen.	Acetaldehyde Measurement
C184510	C65047		Laboratory Test Code	ACTB	Actin Beta; B-Actin; Beta-Actin	A measurement of the beta-actin in a biological specimen.	Beta-Actin Measurement
C74780	C65047		Laboratory Test Code	ACTH	Adrenocorticotropic Hormone; Corticotropin	A measurement of the adrenocorticotropic hormone in a biological specimen.	Adrenocorticotropic Hormone Measurement
C202385	C65047		Laboratory Test Code	ACTVNA	Activin A	A measurement of the activin A (a homodimer consisting of Inhibin Subunit Beta A) in a biological specimen.	Activin A Measurement
C202386	C65047		Laboratory Test Code	ACTVNAB	Activin AB	A measurement of the activin AB (a heterodimer consisting of Inhibin Subunit Beta A and Inhibin Subunit Beta B) in a biological specimen.	Activin AB Measurement
C202387	C65047		Laboratory Test Code	ACTVNB	Activin B	A measurement of the activin B (a homodimer consisting of Inhibin Subunit Beta B) in a biological specimen.	Activin B Measurement
C156535	C65047		Laboratory Test Code	ACYCRNTN	Acylcarnitine	A measurement of the acylcarnitine in a biological specimen.	Acylcarnitine Measurement
C156534	C65047		Laboratory Test Code	ACYGLYCN	Acylglycine	A measurement of the acylglycine in a biological specimen.	Acylglycine Measurement
C92286	C65047		Laboratory Test Code	ACYLCAOX	Acyl CoA Oxidase; Acyl Coenzyme A Oxidase; Fatty Acyl Coenzyme A Oxidase	A measurement of the acyl coenzyme A oxidase in a biological specimen.	Acyl Coenzyme A Oxidase Measurement
C147290	C65047		Laboratory Test Code	ADAM8	A Disintegrin And Metalloproteinase Domain 8; ADAM Metallopeptidase Domain 8; Soluble CD156a	A measurement of the ADAM metallopeptidase domain 8 protein in a biological specimen.	ADAM Metallopeptidase Domain 8 Measurement
C187684	C65047		Laboratory Test Code	ADAMTS13	A Disintegrin-Like And Metalloprotease (Reprolysin Type) With Thrombospondin Type 1 Motif, 13; ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13; von Willebrand Coagulation Factor Cleaving Protease ADAMTS13	A measurement of the von Willebrand coagulation factor cleaving protease, ADAMTS13, in a biological specimen.	von Willebrand Coagulation Factor Cleaving Protease Measurement
C184529	C65047		Laboratory Test Code	ADBPNCA	ADB-PINACA	A measurement of the synthetic cannabinoid ADB-PINACA in a biological specimen.	ADB-PINACA Measurement
C74847	C65047		Laboratory Test Code	ADH	Antidiuretic Hormone; Vasopressin	A measurement of the antidiuretic hormone in a biological specimen.	Antidiuretic Hormone Measurement
C199910	C65047		Laboratory Test Code	ADM	Adrenomedullin	A measurement of the adrenomedullin in a biological specimen.	Adrenomedullin Measurement
C158233	C65047		Laboratory Test Code	ADMA	Asymmetric Dimethylarginine; N,N-dimethylarginine	A measurement of asymmetric dimethylarginine in a biological specimen.	Asymmetric Dimethylarginine Measurement
C187830	C65047		Laboratory Test Code	ADMTS13A	A Disintegrin-Like And Metalloprotease (Reprolysin Type) With Thrombospondin Type 1 Motif, 13 Activity; ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13 Activity; ADAMTS13 Activity; von Willebrand Coagulation Factor Cleaving Protease ADAMTS13 Activity	A measurement of the biological activity of von Willebrand coagulation factor cleaving protease, ADAMTS13, in a biological specimen.	von Willebrand Coagulation Factor Cleaving Protease Activity Measurement
C102257	C65047		Laboratory Test Code	ADP	Adenosine Diphosphate	A measurement of the adenosine diphosphate in a biological specimen.	Adenosine Diphosphate Measurement
C74839	C65047		Laboratory Test Code	ADPNCTN	Adiponectin	A measurement of the total adiponectin hormone in a biological specimen.	Adiponectin Measurement
C132363	C65047		Laboratory Test Code	ADPNHMW	Adiponectin, High Molecular Weight	A measurement of the high molecular weight adiponectin hormone in a biological specimen.	High Molecular Weight Adiponectin Measurement
C98706	C65047		Laboratory Test Code	AFACTXAA	Anti-Factor Xa Activity	A measurement of the ability of antithrombin to inactivate activated Factor X in a biological specimen. This test is used to monitor low molecular weight or unfractionated heparin levels in a biological specimen.	Anti-Factor Xa Activity Measurement
C74732	C65047		Laboratory Test Code	AFP	Alpha Fetoprotein; Alpha-1-Fetoprotein	A measurement of the alpha fetoprotein in a biological specimen.	Alpha-fetoprotein Measurement
C147291	C65047		Laboratory Test Code	AFPADJBW	Alpha Fetoprotein Adj for Body Weight	A measurement of alpha fetoprotein, which has been adjusted for body weight, in a biological specimen.	Alpha Fetoprotein Adjusted for Body Weight Measurement
C96562	C65047		Laboratory Test Code	AFPL1	Alpha Fetoprotein L1	A measurement of the alpha fetoprotein L1 in a biological specimen.	Alpha Fetoprotein L1 Measurement
C96563	C65047		Laboratory Test Code	AFPL2	Alpha Fetoprotein L2	A measurement of the alpha fetoprotein L2 in a biological specimen.	Alpha Fetoprotein L2 Measurement
C96564	C65047		Laboratory Test Code	AFPL3	Alpha Fetoprotein L3	A measurement of the alpha fetoprotein L3 in a biological specimen.	Alpha Fetoprotein L3 Measurement
C96565	C65047		Laboratory Test Code	AFPL3AFP	A Fetoprotein L3/A Fetoprotein	A relative measurement (ratio or percentage) of alpha fetoprotein L3 to total alpha fetoprotein in a biological specimen.	Alpha Fetoprotein L3 to Total Alpha Fetoprotein Ratio Measurement
C124334	C65047		Laboratory Test Code	AG1_5	1,5-Anhydroglucitol	A measurement of the 1,5-anhydroglucitol in a biological specimen.	1,5-Anhydroglucitol Measurement
C111126	C65047		Laboratory Test Code	AHBDH	Alpha Hydroxybutyrate Dehydrogenase	A measurement of the alpha-hydroxybutyrate dehydrogenase in a biological specimen.	Alpha Hydroxybutyrate Dehydrogenase Measurement
C181418	C65047		Laboratory Test Code	AHTRZLM	Alpha-Hydroxytriazolam	A measurement of the alpha-hydroxytriazolam a biological specimen.	Alpha-Hydroxytriazolam Measurement
C202384	C65047		Laboratory Test Code	AKIRSC	Acute Kidney Injury Risk Score; AKI Risk Score	A scoring system that evaluates acute kidney injury risk through the assessment of urine test parameter(s), and which may take into account additional factors.	Acute Kidney Injury Risk Score
C122091	C65047		Laboratory Test Code	ALA	Alanine	A measurement of the alanine in a biological specimen.	Alanine Measurement
C147292	C65047		Laboratory Test Code	ALA1ALB	Apolipoprotein A1/Apolipoprotein B	A relative measurement (ratio or percentage) of the Apolipoprotein A1 to Apolipoprotein B in a biological specimen.	Apolipoprotein A1 to Apolipoprotein B Ratio Measurement
C158222	C65047		Laboratory Test Code	ALAALB	Apolipoprotein A/Apolipoprotein B	A relative measurement (ratio) of the total apolipoprotein A to apolipoprotein B in a biological specimen.	Apolipoprotein A to Apolipoprotein B Ratio Measurement
C64431	C65047		Laboratory Test Code	ALB	Albumin; Microalbumin	A measurement of the albumin protein in a biological specimen.	Albumin Measurement
C147293	C65047		Laboratory Test Code	ALBC	Albumin Clearance	A measurement of the albumin clearance in a biological specimen.	Albumin Clearance
C74761	C65047		Laboratory Test Code	ALBCREAT	Albumin/Creatinine; Microalbumin/Creatinine Ratio	A relative measurement (ratio) of the albumin to the creatinine in a biological specimen.	Albumin to Creatinine Ratio Measurement
C150814	C65047		Laboratory Test Code	ALBEXR	Albumin Excretion Rate	A measurement of the amount of albumin excreted in a biological specimen over a defined period of time (e.g. one hour).	Albumin Excretion Rate
C158228	C65047		Laboratory Test Code	ALBGALB	Glycated Albumin/Albumin	A relative measurement (ratio or percentage) of the glycated albumin to total albumin in a biological specimen.	Glycated Albumin to Albumin Ratio Measurement
C74894	C65047		Laboratory Test Code	ALBGLOB	Albumin/Globulin	The ratio of albumin to globulin in a biological specimen.	Albumin to Globulin Ratio Measurement
C122092	C65047		Laboratory Test Code	ALBGLYCA	Glycated Albumin	A measurement of the glycated albumin present in a biological specimen.	Glycated Albumin Measurement
C154734	C65047		Laboratory Test Code	ALBIDX	Albumin Index	A relative measurement (ratio) of the albumin in cerebrospinal fluid to albumin in serum or plasma in a biological specimen.	Albumin Index
C103453	C65047		Laboratory Test Code	ALBPROT	Albumin/Total Protein	A relative measurement (ratio or percentage) of the albumin to total protein in a biological specimen.	Albumin to Total Protein Ratio Measurement
C154743	C65047		Laboratory Test Code	ALDEPX	Aldrin Epoxidase	A measurement of the aldrin epoxidase in a biological specimen.	Aldrin Epoxidase Measurement
C74731	C65047		Laboratory Test Code	ALDOLASE	Aldolase	A measurement of the aldolase enzyme in a biological specimen.	Aldolase Measurement
C202382	C65047		Laboratory Test Code	ALDSTEXR	Aldosterone Excretion Rate	A measurement of the amount of aldosterone being excreted in a biological specimen over a defined amount of time (e.g. one hour).	Aldosterone Excretion Rate
C74841	C65047		Laboratory Test Code	ALDSTRN	Aldosterone	A measurement of the aldosterone hormone in a biological specimen.	Aldosterone Measurement
C184566	C65047		Laboratory Test Code	ALFNTNL	Alfentanil	A measurement of the alfentanil in a biological specimen.	Alfentanil Measurement
C154762	C65047		Laboratory Test Code	ALLOILE	Alloisoleucine	A measurement of the alloisoleucine in a biological specimen.	Alloisoleucine Measurement
C184519	C65047		Laboratory Test Code	ALOX5	5-Lipoxygenase; 5-LO; 5-LOX; ALOX5; Arachidonate 5-Lipoxygenase	A measurement of the arachidonate 5-lipoxygenase in a biological specimen.	Arachidonate 5-Lipoxygenase Measurement
C64432	C65047		Laboratory Test Code	ALP	Alkaline Phosphatase	A measurement of the alkaline phosphatase in a biological specimen.	Alkaline Phosphatase Measurement
C147294	C65047		Laboratory Test Code	ALPBALP	Alk Phos, Bone/Total Alk Phos; Alkaline Phosphatase, Bone/Total Alkaline Phosphatase	A relative measurement (ratio or percentage) of the bone specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.	Bone Alkaline Phosphatase to Total Alkaline Phosphatase Ratio Measurement
C221548	C65047		Laboratory Test Code	ALPBIALP	Alk Phos, Bile/Total Alk Phos; Alk Phos, Biliary/Total Alk Phos	A relative measurement (ratio or percentage) of the biliary specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.	Biliary Alkaline Phosphatase to Alkaline Phosphatase Ratio Measurement
C92287	C65047		Laboratory Test Code	ALPBS	Bone Specific Alkaline Phosphatase	A measurement of the bone specific alkaline phosphatase isoform in a biological specimen.	Bone Specific Alkaline Phosphatase Measurement
C79438	C65047		Laboratory Test Code	ALPCREAT	Alkaline Phosphatase/Creatinine	A relative measurement (ratio or percentage) of the alkaline phosphatase to creatinine in a biological specimen.	Alkaline Phosphatase to Creatinine Ratio Measurement
C165942	C65047		Laboratory Test Code	ALPEXR	Alkaline Phosphatase Excretion Rate	A measurement of the amount of alkaline phosphatase being excreted in a biological specimen over a defined amount of time (e.g. one hour).	Alkaline Phosphatase Excretion Rate
C147295	C65047		Laboratory Test Code	ALPIALP	Alk Phos, Intestinal/Total Alk Phos; Alkaline Phosphatase, Intestinal/Total Alkaline Phosphatase	A relative measurement (ratio or percentage) of the intestinal specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.	Intestinal Alkaline Phosphatase to Total Alkaline Phosphatase Ratio Measurement
C119266	C65047		Laboratory Test Code	ALPIS	Intestinal Specific Alkaline Phosphatase	A measurement of the intestinal specific alkaline phosphatase isoform in a biological specimen.	Intestinal Specific Alkaline Phosphatase Measurement
C139091	C65047		Laboratory Test Code	ALPISOE	Alkaline Phosphatase Isoenzyme	A measurement of the alkaline phosphatase isoenzyme in a biological specimen.	Alkaline Phosphatase Isoenzyme Measurement
C147296	C65047		Laboratory Test Code	ALPLALP	Alk Phos, Liver/Total Alk Phos; Alkaline Phosphatase, Liver/Total Alkaline Phosphatase	A relative measurement (ratio or percentage) of the liver specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.	Liver Alkaline Phosphatase to Total Alkaline Phosphatase Ratio Measurement
C189497	C65047		Laboratory Test Code	ALPLBALP	Alk Phos, Liver + Bone/Total Alk Phos	A relative measurement (ratio or percentage) of the liver and bone specific alkaline phosphatase isoforms to total alkaline phosphatase in a biological specimen.	Liver and Bone Specific Alkaline Phosphatase Isoform to Alkaline Phosphatase Ratio Measurement
C119267	C65047		Laboratory Test Code	ALPLS	Liver Specific Alkaline Phosphatase	A measurement of the liver specific alkaline phosphatase isoform in a biological specimen.	Liver Specific Alkaline Phosphatase Measurement
C221547	C65047		Laboratory Test Code	ALPMALP	Alk Phos, Macro/Total Alk Phos; Alk Phos, Macrohepatic/Total Alk Phos	A relative measurement (ratio or percentage) of the macrohepatic specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.	Macrohepatic Alkaline Phosphatase to Alkaline Phosphatase Ratio Measurement
C184508	C65047		Laboratory Test Code	ALPPALP	Alk Phos, Placental/Total Alk Phos; Alkaline Phosphatase, Placental/Total Alkaline Phosphatase	A relative measurement (ratio or percentage) of the placental specific alkaline phosphatase isoform to total alkaline phosphatase in a biological specimen.	Placental Alkaline Phosphatase to Total Alkaline Phosphatase Measurement
C184509	C65047		Laboratory Test Code	ALPPS	Placental Specific Alkaline Phosphatase	A measurement of the placental specific alkaline phosphatase isoform in a biological specimen.	Placental Specific Alkaline Phosphatase Measurement
C75370	C65047		Laboratory Test Code	ALPRZLM	Alprazolam	A measurement of the alprazolam present in a biological specimen.	Alprazolam Measurement
C163419	C65047		Laboratory Test Code	ALS	Acid Labile Subunit; ALS; IGFALS; Insulin Like Growth Factor Binding Protein Acid Labile Subunit	A measurement of the acid labile subunit in a biological specimen.	Acid Labile Subunit Measurement
C64433	C65047		Laboratory Test Code	ALT	Alanine Aminotransferase; SGPT	A measurement of the alanine aminotransferase in a biological specimen.	Alanine Aminotransferase Measurement
C106498	C65047		Laboratory Test Code	ALTAST	ALT/AST	A relative measurement (ratio or percentage) of the alanine aminotransferase (ALT) to aspartate aminotransferase (AST) present in a sample.	Alanine Aminotransferase to Aspartate Aminotransferase Ratio Measurement
C103349	C65047		Laboratory Test Code	ALTCPHRL	Alpha Tocopherol	A measurement of the alpha tocopherol in a biological specimen.	Alpha Tocopherol Measurement
C111127	C65047		Laboratory Test Code	ALUMINUM	Al; Aluminum	A measurement of aluminum in a biological specimen.	Aluminum Measurement
C184539	C65047		Laboratory Test Code	AM2201	AM-2201; AM2201	A measurement of the synthetic cannabinoid AM-2201 in a biological specimen.	AM-2201 Measurement
C184538	C65047		Laboratory Test Code	AM694N5H	AM694 N-5-hydroxypentyl	A measurement of the synthetic cannabinoid metabolite AM694 N-5-hydroxypentyl in a biological specimen.	AM694 N-5-hydroxypentyl Measurement
C132364	C65047		Laboratory Test Code	AMACR	Alpha-Methylacyl Coenzyme A Racemase	A measurement of the alpha-methylacyl coenzyme A racemase in a biological specimen.	Alpha-Methylacyl Coenzyme A Racemase Measurement
C75363	C65047		Laboratory Test Code	AMBRBTL	Amobarbital	A measurement of the amobarbital present in a biological specimen.	Amobarbital Measurement
C132365	C65047		Laboratory Test Code	AMCRMRNA	AMACR mRNA	A measurement of the alpha-methylacyl coenzyme A racemase mRNA in a biological specimen.	Alpha-Methylacyl Coenzyme A Racemase mRNA Measurement
C120625	C65047		Laboratory Test Code	AMH	Anti-Mullerian Hormone	A measurement of the anti-Mullerian hormone in a biological specimen.	Anti-Mullerian Hormone Measurement
C186023	C65047		Laboratory Test Code	AMITRPTL	Amitriptyline	A measurement of the amitriptyline in a biological specimen.	Amitriptyline Measurement
C74799	C65047		Laboratory Test Code	AMMONIA	Ammonia; NH3	A measurement of the ammonia in a specimen.	Ammonia Measurement
C186024	C65047		Laboratory Test Code	AMNM	Ammonium; Ammonium Ion; NH4+	A measurement of the ammonium ion (NH4+) in a biological specimen.	Ammonium Measurement
C186025	C65047		Laboratory Test Code	AMNMCRT	Ammonium/Creatinine	A relative measurement (ratio) of ammonium to creatinine in a biological specimen.	Ammonium to Creatinine Ratio Measurement
C81183	C65047		Laboratory Test Code	AMNOACID	AA; Amino Acids	A measurement of the total amino acids in a biological specimen.	Amino Acid Measurement
C204639	C65047		Laboratory Test Code	AMNPHTH1	1-Aminonaphthalene; 1-Naphthylamine	A measurement of the 1-aminonaphthalene in a specimen.	1-Aminonaphthalene Measurement
C204640	C65047		Laboratory Test Code	AMNPHTH2	2-Aminonaphthalene; 2-Naphthylamine	A measurement of the 2-aminonaphthalene in a specimen.	2-Aminonaphthalene Measurement
C74666	C65047		Laboratory Test Code	AMORPHSD	Amorphous Debris; Amorphous Sediment	A measurement of the amorphous sediment present in a biological specimen.	Amorphous Sediment Measurement
C75347	C65047		Laboratory Test Code	AMPEA	Alpha-Methylphenethylamine; Amphetamine	A measurement of the alpha-methylphenethylamine in a biological specimen.	Amphetamine Measurement
C74687	C65047		Laboratory Test Code	AMPHET	Amphetamine; Amphetamines	A measurement of any amphetamine class drug present in a biological specimen.	Amphetamine Drug Class Measurement
C102262	C65047		Laboratory Test Code	AMPHETD	d-amphetamine; Dextroamphetamine	A measurement of the dextroamphetamine in a biological specimen.	Dextroamphetamine Measurement
C64434	C65047		Laboratory Test Code	AMYLASE	Amylase	A measurement of the total enzyme amylase in a biological specimen.	Amylase Measurement
C111243	C65047		Laboratory Test Code	AMYLASEM	Macroamylase	A measurement of macroamylase in a biological specimen.	Macroamylase Measurement
C98767	C65047		Laboratory Test Code	AMYLASEP	Amylase, Pancreatic; Pancreatic Amylase Isoenzyme	A measurement of the pancreatic enzyme amylase in a biological specimen.	Pancreatic Amylase Measurement
C98780	C65047		Laboratory Test Code	AMYLASES	Amylase, Salivary; Salivary Amylase Isoenzyme	A measurement of the salivary enzyme amylase in a biological specimen.	Salivary Amylase Measurement
C103352	C65047		Laboratory Test Code	AMYLB38	Amyloid Beta 1-38; Amyloid Beta 38; Amyloid Beta 38 Protein	A measurement of amyloid beta protein which is composed of peptides 1 to 38 in a biological specimen.	Amyloid Beta 1-38 Measurement
C103353	C65047		Laboratory Test Code	AMYLB40	Amyloid Beta 1-40; Amyloid Beta 40; Amyloid Beta 40 Protein	A measurement of amyloid beta protein which is composed of peptides 1 to 40 in a biological specimen.	Amyloid Beta 1-40 Measurement
C184518	C65047		Laboratory Test Code	AMYLB41	Amyloid Beta 1-41; Amyloid Beta 41; Amyloid Beta 41 Protein	A measurement of amyloid beta protein which is composed of peptides 1 to 41 in a biological specimen.	Amyloid Beta 1-41 Measurement
C84809	C65047		Laboratory Test Code	AMYLB42	Amyloid Beta 1-42; Amyloid Beta 42; Amyloid Beta 42 Protein	A measurement of amyloid beta protein which is composed of peptides 1 to 42 in a biological specimen.	Beta Amyloid 42 Measurement
C125940	C65047		Laboratory Test Code	AMYLOIDA	Amyloid A	A measurement of the total amyloid A in a biological specimen.	Amyloid A Measurement
C81999	C65047		Laboratory Test Code	AMYLOIDB	Amyloid, Beta; Beta Amyloid	A measurement of the total amyloid beta in a biological specimen.	Beta Amyloid Measurement
C81998	C65047		Laboratory Test Code	AMYLOIDP	Amyloid P; Amyloid P Component; SAP; Serum Amyloid P Component	A measurement of the total amyloid P in a biological specimen.	Amyloid P Measurement
C147298	C65047		Laboratory Test Code	ANABASN	Anabasine	A measurement of the anabasine in a specimen.	Anabasine Measurement
C147299	C65047		Laboratory Test Code	ANAG	Alpha-N-acetylglucosaminidase	A measurement of the alpha-N-acetylglucosaminidase in a biological specimen.	Alpha-N-acetylglucosaminidase Measurement
C74842	C65047		Laboratory Test Code	ANDSTNDL	Androstenediol	A measurement of the androstenediol metabolite in a biological specimen.	Androstenediol Metabolite Measurement
C74843	C65047		Laboratory Test Code	ANDSTNDN	4-Androstenedione; Androstenedione	A measurement of the androstenedione hormone in a biological specimen.	Androstenedione Measurement
