Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C225823	C225362		Microscopic Findings Result Modifier	AXONAL		Of, or pertaining to, an axon.	Axonal
C225825	C225362		Microscopic Findings Result Modifier	BASOPHILIC MATERIAL		A physical substance with a basophilic tint upon staining with hematoxylin and eosin.	Basophilic Material
C225824	C225362		Microscopic Findings Result Modifier	BASOPHILIC		Of, or pertaining to a basophil; or a tissue or cell that stains readily with basic dyes, such as hematoxylin.	Basophilic Finding
C225826	C225362		Microscopic Findings Result Modifier	BASOSQUAMOUS		Of, or pertaining to, basilar squamous cells.	Basosquamous Finding
C13332	C225362		Microscopic Findings Result Modifier	BILATERAL		Affecting both sides of the body, or a pair of organs.	Bilateral
C28011	C225362		Microscopic Findings Result Modifier	BILIARY		Of, or pertaining to, bile and/or bile duct(s).	Biliary
C25435	C225362		Microscopic Findings Result Modifier	BIPHASIC		Of, or pertaining to, two cell morphologies of the same cell type.	Biphasic
C48323	C225362		Microscopic Findings Result Modifier	BLACK		Of darkest color; producing or reflecting comparatively little light and having no predominant hue; being the color of coal or carbon.	Black
C48333	C225362		Microscopic Findings Result Modifier	BLUE		The hue of that portion of the visible spectrum lying between green and indigo, evoked in the human observer by radiant energy with wavelengths of approximately 420 to 490 nanometers; any of a group of colors that may vary in lightness and saturation, whose hue is that of a clear daytime sky.	Blue
C25222	C225362		Microscopic Findings Result Modifier	BRONCHIAL		Of, or pertaining to, the bronchus.	Bronchial
C225827	C225362		Microscopic Findings Result Modifier	BRONCHIOLAR		Of, or pertaining to, the bronchioles.	Bronchiolar
C225828	C225362		Microscopic Findings Result Modifier	BRONCHIOLOALVEOLAR	Bronchiolo-Alveolar	Of, or pertaining to, the bronchioles and adjacent alveoli.	Bronchioloalveolar
C225829	C225362		Microscopic Findings Result Modifier	BRONCHOALVEOLAR	Bronchio-Alveolar; Bronchioalveolar; Broncho-Alveolar	Of, or pertaining to, the main stem bronchi and adjacent alveoli.	Bronchoalveolar
C225830	C225362		Microscopic Findings Result Modifier	BURSAL		Of, or pertaining to, a bursal sac.	Bursal
C225831	C225362		Microscopic Findings Result Modifier	CAPSULAR		Of, or pertaining to a capsule.	Capsular
C225832	C225362		Microscopic Findings Result Modifier	CARTILAGINOUS	Chondroid; Chondrous	Of, or pertaining to, a finding that shares some qualities of cartilage.	Cartilaginous Finding
C225833	C225362		Microscopic Findings Result Modifier	CAVERNOUS		Of, or pertaining to a structure or cavity that is large in size or depth.	Cavernous
C225834	C225362		Microscopic Findings Result Modifier	CELLULAR		Of, or pertaining to, a cell.	Cellular
C225836	C225362		Microscopic Findings Result Modifier	CENTRILOBULAR REGION		The area surrounding the central vein of the liver.	Centrilobular Region
C225835	C225362		Microscopic Findings Result Modifier	CENTRILOBULAR		Of, or pertaining to the centrilobular region of the liver.	Centrilobular
C225837	C225362		Microscopic Findings Result Modifier	CERVICAL REGION		The area in proximity to the neck.	Cervical Region
C12844	C225362		Microscopic Findings Result Modifier	CERVICAL		Of, or pertaining to, the neck or cervix.	Cervical
C225839	C225362		Microscopic Findings Result Modifier	CHONDRO-OSSEOUS		Of, or pertaining to, a finding that shares some qualities of cartilage and bone.	Chondro-Osseous Finding
C225838	C225362		Microscopic Findings Result Modifier	CHONDROMUCINOUS		Of, or pertaining to, a finding that shares some qualities of cartilage and mucin.	Chondromucinous Finding
C225840	C225362		Microscopic Findings Result Modifier	CHORIORETINAL		Of, or pertaining to, the choroid and/or retina.	Chorioretinal
C47881	C225362		Microscopic Findings Result Modifier	COMPLEX		Being involved or complicated, elaborate, or having many parts.	Complex
C99210	C225362		Microscopic Findings Result Modifier	CONGENITAL		Of, or pertaining to, a condition or trait that is present at birth.	Congenital
C225841	C225362		Microscopic Findings Result Modifier	CORNEAL		Of, or pertaining to, the cornea.	Corneal
C225842	C225362		Microscopic Findings Result Modifier	CORTICAL		Of, or pertaining to, a cortex.	Cortical
C225843	C225362		Microscopic Findings Result Modifier	CORTICOMEDULLARY	Cortico-medullary	Of, or pertaining to, the junction of the renal cortex and renal medulla.	Corticomedullary
C225844	C225362		Microscopic Findings Result Modifier	CRANIOPHARYNGEAL		Of, or pertaining to, the cranium and pharynx.	Craniopharyngeal
C225845	C225362		Microscopic Findings Result Modifier	CRESCENTIC		Of, or pertaining to, a crescent shape.	Crescentic
C225847	C225362		Microscopic Findings Result Modifier	CYSTIC ENDOMETRIAL		Of, or pertaining to, a cystic condition of the endometrium.	Cystic Endometrial
C225846	C225362		Microscopic Findings Result Modifier	CYSTIC		Of, or pertaining to, a cyst, urinary bladder, or gallbladder.	Cystic
C225848	C225362		Microscopic Findings Result Modifier	CYTOPLASMIC	Intracytoplasmic	Within the cytoplasm.	Cytoplasmic
C41136	C225362		Microscopic Findings Result Modifier	DENTAL		Of, or pertaining to, the tooth.	Dental
C25478	C225362		Microscopic Findings Result Modifier	DERMAL	Cutaneous; Dermal	Of or relating to or located in the dermis. When used in the context of clinical observations, dermal may also include findings related to other components of the skin.	Dermal
C225849	C225362		Microscopic Findings Result Modifier	DEVELOPMENTAL		Of, or pertaining to, the process of physical development.	Developmental
C25237	C225362		Microscopic Findings Result Modifier	DISTAL		Situated farthest from a point of reference.	Distal
C45874	C225362		Microscopic Findings Result Modifier	DORSAL		Pertaining to the back or upper surface of the body.	Dorsal
C25732	C225362		Microscopic Findings Result Modifier	DUCTAL		Of, or pertaining to, a duct.	Ductal
C225850	C225362		Microscopic Findings Result Modifier	DUCTULAR		Of, or pertaining to a ductule.	Ductular
C225851	C225362		Microscopic Findings Result Modifier	DYSTROPHIC		Of, or pertaining to, a dystrophy.	Dystrophic
C34100	C225362		Microscopic Findings Result Modifier	EMBRYONIC		Of, or pertaining to, an embryo.	Embryonic
C225852	C225362		Microscopic Findings Result Modifier	ENDOCARDIAL		Of, or pertaining to, the endocardium.	Endocardial
C28223	C225362		Microscopic Findings Result Modifier	ENDOGENOUS		Of, or pertaining to, formation within the body.	Endogenous
C225853	C225362		Microscopic Findings Result Modifier	ENDOMETRIAL STROMAL		Of, or pertaining to, the stroma of the endometrium.	Endometrial Stromal
C13322	C225362		Microscopic Findings Result Modifier	ENDOMETRIAL		Of, or pertaining to, the endometrium.	Endometrial
C225854	C225362		Microscopic Findings Result Modifier	ENDONEURIAL		Of, or pertaining to, the endoneurium.	Endoneurial
C225855	C225362		Microscopic Findings Result Modifier	ENDOPHYTIC		Of, or pertaining to, an inward growth from the surface into underlying and/or surrounding tissue.	Endophytic Finding
C225856	C225362		Microscopic Findings Result Modifier	ENDOSTEAL		Of, or pertaining to, the endosteum.	Endosteal
C225857	C225362		Microscopic Findings Result Modifier	ENDOTHELIAL		Of, or pertaining to, the endothelium.	Endothelial
C225858	C225362		Microscopic Findings Result Modifier	ENLARGED		Of, or pertaining to, an increase in size, volume, quantity or scope in comparison to normal or previous state.	Enlarged
C225860	C225362		Microscopic Findings Result Modifier	EOSINOPHILIC MATERIAL		A physical substance with an eosinophilic tint upon staining with hematoxylin and eosin.	Eosinophilic Material
C225859	C225362		Microscopic Findings Result Modifier	EOSINOPHILIC		Of, or pertaining to an eosinophil; or a tissue or cell that stains readily with the acidic dye eosin.	Eosinophilic Finding
C225861	C225362		Microscopic Findings Result Modifier	EPICARDIAL		Of, or pertaining to, the epicardium.	Epicardial
C225862	C225362		Microscopic Findings Result Modifier	EPIDERMAL		Of, or pertaining to, the epidermis.	Epidermal
C225863	C225362		Microscopic Findings Result Modifier	EPINEURIAL		Of, or pertaining to, the epineurium.	Epineurial
C225864	C225362		Microscopic Findings Result Modifier	EPIPHYSEAL		Of, or pertaining to, an epiphysis.	Epiphyseal
C225865	C225362		Microscopic Findings Result Modifier	EPIRETINAL		Of, or pertaining to, the area around the retina.	Epiretinal
C13315	C225362		Microscopic Findings Result Modifier	EPITHELIAL		Of, or pertaining to, the epithelium.	Epithelial
C53638	C225362		Microscopic Findings Result Modifier	EPITHELIOID	Epitheloid	Of, or pertaining to, mesenchymal or round cells resembling epithelial cells with abundant cytoplasm and/or round or oval nuclei.	Epithelioid Component Present
C225866	C225362		Microscopic Findings Result Modifier	ERYTHROBLASTIC		Of, or pertaining to, an erythroblast.	Erythroblastic
C225867	C225362		Microscopic Findings Result Modifier	ERYTHROID	Erythrocytic	Of, or pertaining to, erythrocytes and/or precursors.	Erythrocytic
C225868	C225362		Microscopic Findings Result Modifier	ERYTHROPOIETIC		Of, or pertaining to, the process of erythropoiesis.	Erythropoietic
C37950	C225362		Microscopic Findings Result Modifier	ESOPHAGEAL		Of, or pertaining to, the esophagus.	Esophageal
C225869	C225362		Microscopic Findings Result Modifier	EXOGENOUS		Of, or pertaining to, formation outside the body.	Exogenous
C74938	C225362		Microscopic Findings Result Modifier	EXOPHYTIC		Of, or pertaining to, an outward growth from the surface.	Exophytic
C25502	C225362		Microscopic Findings Result Modifier	EXTRACAPSULAR		Of, or pertaining to the region in close proximity and external to the capsule.	Extracapsular
C225870	C225362		Microscopic Findings Result Modifier	EXTRACELLULAR		Of, or pertaining to, the area outside of a cell.	Extracellular
C25503	C225362		Microscopic Findings Result Modifier	EXTRAMEDULLARY		Of, or pertaining to, the area outside of a medulla.	Extramedullary
C71580	C225362		Microscopic Findings Result Modifier	FATAL		Of, or pertaining to, death.	Fatal
C225871	C225362		Microscopic Findings Result Modifier	FATTY		Of, or pertaining to, fat or adipose tissue.	Fatty
C225872	C225362		Microscopic Findings Result Modifier	FIBRINOHEMORRHAGIC		Of, or pertaining to, the presence of fibrin and blood.	Fibrinohemorrhagic
C225873	C225362		Microscopic Findings Result Modifier	FIBRINOUS		Of, or pertaining to, a finding that shares some qualities of fibrin.	Fibrinous
C225877	C225362		Microscopic Findings Result Modifier	FIBRO-OSSEOUS		Of, or pertaining to, a finding that shares some qualities of fibrous tissue and bone.	Fibro-Osseous Finding
C225874	C225362		Microscopic Findings Result Modifier	FIBROBLASTIC		Of, or pertaining to, a fibroblast.	Fibroblastic
C225875	C225362		Microscopic Findings Result Modifier	FIBROMATOUS		Of, or pertaining to, a finding that shares some qualities of a fibroma.	Fibromatous Finding
C225876	C225362		Microscopic Findings Result Modifier	FIBROMUSCULAR		Having fibrous and muscular components.	Fibromuscular Finding
C225878	C225362		Microscopic Findings Result Modifier	FIBROUS		Of, or pertaining to, a finding that shares some qualities of fibrous tissue.	Fibrous Finding
C225879	C225362		Microscopic Findings Result Modifier	FIBROVASCULAR		Having fibrous and vascular components.	Fibrovascular Finding
C225880	C225362		Microscopic Findings Result Modifier	FOAMY		Of, or pertaining to, a foamy appearance.	Foamy
C225881	C225362		Microscopic Findings Result Modifier	FOLLICULAR		Of, or pertaining to a follicle.	Follicular
C34620	C225362		Microscopic Findings Result Modifier	FOREIGN MATERIAL	Foreign Body	Any physical substance originating inside or outside the body is not in it's physiological or intended location.	Foreign Body
C225882	C225362		Microscopic Findings Result Modifier	FOVEOLAR		Of, or pertaining to a fovea or foveola.	Foveolar
C225883	C225362		Microscopic Findings Result Modifier	GANGLIONEUROMA TYPE		Of, or pertaining to, a ganglioneuroma.	Ganglioneuromatous Finding
C225884	C225362		Microscopic Findings Result Modifier	GEMISTOCYTIC		Of, or pertaining to, swollen, reactive astrocytes.	Gemistocytic Finding
C226254	C225362		Microscopic Findings Result Modifier	GINGIVAL		Of, or pertaining to, the gingiva.	Gingival
C225886	C225362		Microscopic Findings Result Modifier	GLANDULAR		Of, or pertaining to a gland.	Glandular
C225887	C225362		Microscopic Findings Result Modifier	GLOMERULAR		Of, or pertaining to a glomerulus.	Glomerular
C225889	C225362		Microscopic Findings Result Modifier	GRANULAR MATERIAL		A physical substance with a granular appearance.	Granular Material
C225888	C225362		Microscopic Findings Result Modifier	GRANULAR		Of, or pertaining to a granule or having a granule-like appearance.	Granular
C225890	C225362		Microscopic Findings Result Modifier	GRANULOCYTIC		Of, or pertaining to, white blood cells containing cytoplasmic granules (i.e., eosinophils, neutrophils, basophils, and heterophils) .	Granulocytic
C225891	C225362		Microscopic Findings Result Modifier	GRANULOMATOUS		Of, or pertaining to, a finding that shares some qualities of a granuloma.	Granulomatous Finding
C225892	C225362		Microscopic Findings Result Modifier	GRANULOPOETIC		Of, or pertaining to, myeloid granulocytic precursor cells.	Granulopoetic
C48324	C225362		Microscopic Findings Result Modifier	GRAY	Grey	An achromatic color of any lightness between the extremes of black and white.	Gray
C225893	C225362		Microscopic Findings Result Modifier	HEMANGIOENDOTHELIAL		Of, or pertaining to, the endothelium of the blood vessel(s).	Hemangioendothelial
C13324	C225362		Microscopic Findings Result Modifier	HEMATOPOETIC		Of, or pertaining to, blood cell precursors.	Hematopoietic
C225894	C225362		Microscopic Findings Result Modifier	HEMORRHAGIC		Of, or pertaining to, hemorrhage.	Hemorrhagic
C13308	C225362		Microscopic Findings Result Modifier	HEPATIC		Of, or pertaining to, the liver.	Hepatic
C79753	C225362		Microscopic Findings Result Modifier	HEPATOCELLULAR		Of, or pertaining to, hepatocytes.	Hepatocellular
C225895	C225362		Microscopic Findings Result Modifier	HEPATOCHOLANGIOCELLULAR		Of, or pertaining to, hepatocytes and cholangiocytes.	Hepatocholangiocellular
C225896	C225362		Microscopic Findings Result Modifier	HETEROLOGOUS		Of, or pertaining to, a different structure, position, or relationship.	Heterologous
C225897	C225362		Microscopic Findings Result Modifier	HETEROPHILIC		Of, or pertaining to a heterophil.	Heterophilic
C225898	C225362		Microscopic Findings Result Modifier	HISTIOCYTIC		Of, or pertaining to, macrophages.	Histiocytic
C79968	C225362		Microscopic Findings Result Modifier	HOMOLOGOUS		Of, or pertaining to, the same structure, position, or relationship.	Homology
C176405	C225362		Microscopic Findings Result Modifier	HYALINE MATERIAL		Any physical substance with hyaline (glassy or translucent) characteristics.	Hyaline Material
C225899	C225362		Microscopic Findings Result Modifier	HYALINE		Having a glassy appearance that is typically pink on H&E staining.	Hyaline Pattern
C49118	C225362		Microscopic Findings Result Modifier	HYDROPIC		Having cytoplasmic vacuolation and/or ballooning.	Hydropic Change
C225900	C225362		Microscopic Findings Result Modifier	HYPOPHYSEAL		Of, or pertaining to, the hypophysis.	Hypophyseal
C28242	C225362		Microscopic Findings Result Modifier	IDIOPATHIC		Arising from an unknown or unidentified cause.	Idiopathic
C225901	C225362		Microscopic Findings Result Modifier	INCIDENTAL		Of, or pertaining to, a finding that was not related to the reason that prompted the analysis.	Incidental
C225902	C225362		Microscopic Findings Result Modifier	INERT MATERIAL		Any physical substance that is inactive and does not result in any reaction from the surrounding environment.	Inert Material
C25535	C225362		Microscopic Findings Result Modifier	INFLAMMATORY		Of, or pertaining to, inflammation.	Inflammatory
C12726	C225362		Microscopic Findings Result Modifier	INGUINAL REGION	Groin	The lower region of the anterior abdominal wall located laterally to the pubic region. (NCI)	Inguinal Region
C225903	C225362		Microscopic Findings Result Modifier	INGUINAL		Of, or pertaining to, the inguinal region.	Inguinal
C35916	C225362		Microscopic Findings Result Modifier	INSULAR		Of, or pertaining to an insula or island of cells.	Insular Pattern
C225904	C225362		Microscopic Findings Result Modifier	INTERACINAR		Of, or pertaining to, the area between acini.	Interacinar
C225905	C225362		Microscopic Findings Result Modifier	INTERCELLULAR		Of, or pertaining to, the area between cells.	Intercellular
C225906	C225362		Microscopic Findings Result Modifier	INTERFOLLICULAR REGION		The area between follicles.	Interfollicular Region
C225907	C225362		Microscopic Findings Result Modifier	INTERLOBULAR		Of, or pertaining to, the area between lobules.	Interlobular
C225908	C225362		Microscopic Findings Result Modifier	INTERSTITIAL		Of, or pertaining to, the interstitium.	Interstitial
C25266	C225362		Microscopic Findings Result Modifier	INTESTINAL		Of, or pertaining to, the intestine.	Intestinal
C225909	C225362		Microscopic Findings Result Modifier	INTIMAL		Of, or pertaining to, the intima.	Intimal
C225910	C225362		Microscopic Findings Result Modifier	INTRAALVEOLAR		Within an alveolus.	Intraalveolar
C28217	C225362		Microscopic Findings Result Modifier	INTRACELLULAR		Within a cell.	Intracellular
C225911	C225362		Microscopic Findings Result Modifier	INTRADUCTAL		Within a duct.	Intraductal
C225912	C225362		Microscopic Findings Result Modifier	INTRAEPIDERMAL		Within the epidermis.	Intraepidermal
C225913	C225362		Microscopic Findings Result Modifier	INTRAFOLLICULAR		Within a follicle.	Intrafollicular
C13808	C225362		Microscopic Findings Result Modifier	INTRAHEPATIC		Within the liver.	Intrahepatic
C225914	C225362		Microscopic Findings Result Modifier	INTRALUMINAL		Within a lumen.	Intraluminal
C225915	C225362		Microscopic Findings Result Modifier	INTRAMURAL		Within the wall of a structure.	Intramural
C225916	C225362		Microscopic Findings Result Modifier	INTRAMYELINIC		Within the myelin sheath.	Intramyelinic
C96904	C225362		Microscopic Findings Result Modifier	INTRAOCULAR		Within the eye.	Intraocular
C225917	C225362		Microscopic Findings Result Modifier	INTRASINUSOIDAL		Of, or pertaining to, the inside of a sinusoid.	Intrasinusoidal
C225918	C225362		Microscopic Findings Result Modifier	INTRATUBULAR		Within a tubule.	Intratubular
C225919	C225362		Microscopic Findings Result Modifier	INTRAVASCULAR		Within a vessel.	Intravascular
C225920	C225362		Microscopic Findings Result Modifier	INTRAVITREAL		Within the vitreous of the eye.	Intravitreal
C225921	C225362		Microscopic Findings Result Modifier	JUXTAGLOMERULAR		Of, or pertaining to the area next to a glomerulus.	Juxtaglomerular
C225922	C225362		Microscopic Findings Result Modifier	LACTEAL		Of, or pertaining to, a lymphatic vessel.	Lacteal
C225923	C225362		Microscopic Findings Result Modifier	LAMINAR		Of, or pertaining to the laminae or having a lamina-like appearance.	Laminar
C225924	C225362		Microscopic Findings Result Modifier	LARGE GRANULAR LYMPHOCYTIC		Of, or pertaining to, large granular lymphocytes.	Large Granular Lymphocytic Finding
C25230	C225362		Microscopic Findings Result Modifier	LATERAL		Situated at or extending to the side.	Lateral
C225925	C225362		Microscopic Findings Result Modifier	LENTICULAR		Of, or pertaining to a lens.	Lenticular
C225926	C225362		Microscopic Findings Result Modifier	LINEAR		Of, or pertaining to a line or having a line-like appearance.	Linear
C225927	C225362		Microscopic Findings Result Modifier	LIPOGRANULOMATOUS		Of, or pertaining to, a finding that shares some qualities of adipose tissue and a granuloma.	Lipogranulomatous Finding
C225928	C225362		Microscopic Findings Result Modifier	LIPOMATOUS		Of, or pertaining to, a finding that shares some qualities of adipose tissue.	Lipomatous Finding
C25556	C225362		Microscopic Findings Result Modifier	LOBAR		Of, or pertaining to a lobe.	Lobar
C25557	C225362		Microscopic Findings Result Modifier	LOBULAR		Of, or pertaining to a lobule or having a lobule-like appearance.	Lobular
C225929	C225362		Microscopic Findings Result Modifier	LOBULOALVEOLAR	Lobuloalveoli	Of, or pertaining to a lobule and adjacent alveoli.	Lobuloalveolar
C225930	C225362		Microscopic Findings Result Modifier	LUMBAR		Of, or pertaining to the lumbar region.	Lumbar
C225931	C225362		Microscopic Findings Result Modifier	LUMENAL	Luminal	Of, or pertaining to, a lumen.	Lumenal
C225932	C225362		Microscopic Findings Result Modifier	LUTEAL		Of, or pertaining to, a corpus luteum.	Luteal
C25267	C225362		Microscopic Findings Result Modifier	LYMPHATIC		Of, or pertaining to, components of the lymphoid system.	Lymphatic
C225933	C225362		Microscopic Findings Result Modifier	LYMPHOBLASTIC		Of, or pertaining to, a lymphoblast.	Lymphoblastic
C13350	C225362		Microscopic Findings Result Modifier	LYMPHOCYTIC		Of, or pertaining to, lymphocytes and/or precursors.	Lymphocytic
C225934	C225362		Microscopic Findings Result Modifier	LYMPHOHISTIOCYTIC		Of, or pertaining to, lymphocytes and macrophages.	Lymphohistiocytic
C225935	C225362		Microscopic Findings Result Modifier	LYMPHOPLASMACYTIC		Of, or pertaining to, lymphocytes and plasmacytes.	Lymphoplasmacytic
C27963	C225362		Microscopic Findings Result Modifier	LYTIC		Of, or pertaining to, lysis.	Lytic
C225936	C225362		Microscopic Findings Result Modifier	MACROVESICULAR		Of, pertaining to, or having the appearance of a large vesicle.	Macrovesicular Pattern
C204859	C225362		Microscopic Findings Result Modifier	MAMMARY REGION		The area in proximity to the mammary gland.	Mammary Region
C43595	C225362		Microscopic Findings Result Modifier	MAMMARY		Of, or pertaining to, the mammary gland and/or its accessory parts.	Mammary
C225937	C225362		Microscopic Findings Result Modifier	MANDIBULAR		Of, or pertaining to the mandible.	Mandibular
C48187	C225362		Microscopic Findings Result Modifier	MATERIAL		A physical substance.	Material
C25232	C225362		Microscopic Findings Result Modifier	MEDIAL		Toward the middle or in a limb toward the median plane.	Medial
C25310	C225362		Microscopic Findings Result Modifier	MEDIASTINAL		Of, or pertaining to, the mediastinum.	Mediastinal
C225938	C225362		Microscopic Findings Result Modifier	MEDULLARY		Of, or pertaining to, the inner region of a tissue, organ, or structure (e.g., the medulla).	Medullary
C225939	C225362		Microscopic Findings Result Modifier	MEGAKARYOCYTIC		Of, or pertaining to, megakaryocytes.	Megakaryocytic
C12931	C225362		Microscopic Findings Result Modifier	MENINGEAL		Of, or pertaining to, the meninges.	Meningeal
C225940	C225362		Microscopic Findings Result Modifier	MENSTRUAL		Of, or pertaining to, the menstrual cycle.	Menstrual
C225941	C225362		Microscopic Findings Result Modifier	MESANGIAL		Of, or pertaining to, the mesangium.	Mesangial
C25721	C225362		Microscopic Findings Result Modifier	MESENCHYMAL		Of, or pertaining to, the mesenchyma.	Mesenchymal
C25226	C225362		Microscopic Findings Result Modifier	MESENTERIC		Of, or pertaining to, the mesentery.	Mesenteric
C225942	C225362		Microscopic Findings Result Modifier	MESOTHELIAL		Of, or pertaining to, the mesothelium.	Mesothelial
C225943	C225362		Microscopic Findings Result Modifier	MESOVARIAL		Of, or pertaining to, the mesovarium.	Mesovarial
C225944	C225362		Microscopic Findings Result Modifier	MICROVESICULAR		Of, pertaining to, or having the appearance of a small vesicle.	Microvesicular Pattern
C225946	C225362		Microscopic Findings Result Modifier	MIDZONAL REGION		The area between the centrilobular region and periportal region of the liver.	Hepatic Midzonal Region
C225945	C225362		Microscopic Findings Result Modifier	MIDZONAL		Of, or pertaining to the midzonal region of the liver.	Hepatic Midzonal
C25259	C225362		Microscopic Findings Result Modifier	MIXED		Involving or composed of different kinds.	Mixed
C36131	C225362		Microscopic Findings Result Modifier	MODERATELY DIFFERENTIATED		Of, or pertaining to, a lesion or cells that have some but not all characteristics of the normal origin tissue.	Moderately Differentiated Lesion
C225947	C225362		Microscopic Findings Result Modifier	MOLAR		Of, or pertaining to, a molar tooth.	Molar
C225948	C225362		Microscopic Findings Result Modifier	MONOCYTIC		Of, or pertaining to, monocytes.	Monocytic
C225949	C225362		Microscopic Findings Result Modifier	MUCINOUS MATERIAL		A physical substance composed of mucin or having the appearance of mucin.	Mucinous Material
C14163	C225362		Microscopic Findings Result Modifier	MUCINOUS		Of, or pertaining to, a finding that shares some qualities of mucin.	Mucinous
C225950	C225362		Microscopic Findings Result Modifier	MUCOSAL		Of, or pertaining to, the mucosa.	Mucosal
C225951	C225362		Microscopic Findings Result Modifier	MULTILOBULAR	Multi-Lobular	Of, or pertaining to more than one lobule within an organ.	Multilobular
C225952	C225362		Microscopic Findings Result Modifier	MULTILOCULAR		Of, pertaining to, or of the appearance of having multiple spaces or compartments.	Multilocular
C225953	C225362		Microscopic Findings Result Modifier	MURAL		Of, or pertaining to, an anatomic wall.	Mural
C225954	C225362		Microscopic Findings Result Modifier	MYELOPOIETIC		Of, or pertaining to, myelopoiesis.	Myelopoietic
