Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C26712	C88025		Neoplasm Type	ADENOCARCINOMA, MUCINOUS, MALIGNANT	Colloid Adenocarcinoma; Colloid Carcinoma; Gelatinous Adenocarcinoma; Gelatinous Carcinoma; Mucinous Carcinoma; Mucoid Adenocarcinoma; Mucoid Carcinoma; Mucous Adenocarcinoma; Mucous Carcinoma	An adenocarcinoma comprising neoplastic glandular cells containing intracytoplasmic mucin.	Mucinous Adenocarcinoma
C2853	C88025		Neoplasm Type	ADENOCARCINOMA, PAPILLARY, MALIGNANT		An adenocarcinoma with papillary growth pattern.	Papillary Adenocarcinoma
C40310	C88025		Neoplasm Type	ADENOCARCINOMA, SEBACEOUS, MALIGNANT	Carcinoma of Sebaceous Gland; Carcinoma of the Sebaceous Gland; Carcinoma, Sebaceous Cell; Sebaceous Gland Carcinoma	A malignant adenocarcinoma with sebaceous differentiation.	Sebaceous Carcinoma
C8984	C88025		Neoplasm Type	ADENOFIBROMA, BENIGN	Benign Mixed Muellerian Tumor	Benign mixed neoplasm comprised of epithelial/glandular and mesenchymal structures.	Female Reproductive System Adenofibroma
C4159	C88025		Neoplasm Type	ADENOLIPOMA, BENIGN		Benign mixed neoplasm comprised of epithelial/glandular and lipomatous structures.	Lipoadenoma
C4196	C88025		Neoplasm Type	ADENOMA, ACINAR CELL, BENIGN	Acinar Adenoma; Acinic Cell Adenoma	A benign glandular epithelial neoplasm comprising secretory cells forming acinar patterns.	Acinar Cell Adenoma
C7580	C88025		Neoplasm Type	ADENOMA, ADNEXAL, BENIGN	Adenoma of Adnexa; Adenoma of Skin Appendage; Adnexal Adenoma	A benign epithelial neoplasm arising from the sebaceous or sweat glands.	Skin Adnexal Adenoma
C9003	C88025		Neoplasm Type	ADENOMA, ADRENOCORTICAL, BENIGN	Adenoma of Adrenal Cortex; Adenoma of Adrenal Gland; Adenoma of the Adrenal Cortex; Adenoma of the Adrenal Gland; Adrenal Adenoma; Adrenal Cortical Adenoma; Adrenal Gland Adenoma; Adrenocortical Adenoma; Benign Adenoma of Adrenal Gland; Benign Adenoma of the Adrenal Gland; Benign Adrenal Adenoma; Benign Adrenal Gland Adenoma; Cortical Cell Adenoma	A benign neoplasm arising from any of the adrenal cortical layers.	Adrenal Cortical Adenoma
C176394	C88025		Neoplasm Type	ADENOMA, AMPHOPHILIC VACUOLAR, BENIGN		A benign neoplasm of the renal tubules, composed of distinct lobules of large, round to polyhedral cells with vacuolated amphophilic to eosinophilic cytoplasm and prominent nucleoli. (Crabbs TA, Frame SR, Laast VA, Patrick DJ, Thomas J, Zimmerman B, Hardisty JF (2013) Occurrence of spontaneous amphophilic-vacuolar renal tubule tumors in Sprague-Dawley rats from subchronic toxicity studies. Toxicol Pathol 41:866-87)	Experimental Organism Amphophilic Vacuolar Adenoma
C3329	C88025		Neoplasm Type	ADENOMA, ANTERIOR LOBE PITUITARY GLAND, BENIGN	Adenoma of Pituitary; Adenoma of Pituitary Gland; Adenoma of the Pituitary; Adenoma of the Pituitary Gland; Pituitary Adenoma	A benign neoplasm of the anterior lobe of the pituitary gland.	Pituitary Neuroendocrine Tumor
C2855	C88025		Neoplasm Type	ADENOMA, BENIGN		A benign neoplasm arising from epithelium.	Adenoma
C3494	C88025		Neoplasm Type	ADENOMA, BRONCHIAL, BENIGN		A benign neoplasia of the lung, arising from bronchial epithelium.	Lung Papillary Adenoma
C4140	C88025		Neoplasm Type	ADENOMA, BRONCHIOLOALVEOLAR, BENIGN	Adenoma of Alveoli; Adenoma of the Alveoli	A benign lung neoplasm arising from the alveolar/bronchiolar epithelium.	Alveolar Adenoma
C46101	C88025		Neoplasm Type	ADENOMA, C-CELL, BENIGN	Parafollicular Cell Adenoma	A benign neoplasm arising from C-cells of the thyroid gland.	Neoplastic C-Cell Hyperplasia
C6088	C88025		Neoplasm Type	ADENOMA, CERUMINOUS GLAND, BENIGN	Ceruminoma; Ceruminous Adenoma; Ceruminous Adenoma of External Auditory Canal; Ceruminous Adenoma of the External Auditory Canal	A benign epithelial neoplasm derived from ceruminous glands in the external auditory canal.	Ceruminous Adenoma
C4151	C88025		Neoplasm Type	ADENOMA, CLEAR CELL, BENIGN		A benign neoplasm comprising glands containing epithelial clear cells.	Clear Cell Adenoma
C156610	C88025		Neoplasm Type	ADENOMA, DUCTAL CELL, BENIGN		A benign adenoma characterized by a complex of ductular structures lined by a high cuboidal epithelium resembling that of normal ductules. (INHAND)	Experimental Organism Ductal Cell Adenoma
C127811	C88025		Neoplasm Type	ADENOMA, ENDOMETRIAL, BENIGN		A benign epithelial neoplasm arising from the endometrium.	Experimental Organism Benign Endometrial Adenoma
C3502	C88025		Neoplasm Type	ADENOMA, FOLLICULAR CELL, BENIGN	Adenoma of the Thyroid; Adenoma of the Thyroid Gland; Adenoma of Thyroid; Adenoma of Thyroid Gland; Follicular Adenoma; Follicular Adenoma of the Thyroid; Follicular Adenoma of the Thyroid Gland; Follicular Adenoma of Thyroid; Follicular Adenoma of Thyroid Gland; Thyroid Adenoma; Thyroid Follicular Adenoma; Thyroid Gland Adenoma	A benign neoplasm arising from follicular cells of the thyroid gland.	Thyroid Gland Follicular Adenoma
C3758	C88025		Neoplasm Type	ADENOMA, HEPATOCELLULAR, BENIGN	Adenoma of Liver Cells; Adenoma of the Liver Cells; HCA; Liver Cell Adenoma	A benign epithelial neoplasm arising from hepatocytes.	Hepatocellular Adenoma
C7126	C88025		Neoplasm Type	ADENOMA, HEPATOCHOLANGIOCELLULAR, BENIGN		A benign neoplasm arising from the intrahepatic bile duct.	Intrahepatic Bile Duct Adenoma
C114108	C88025		Neoplasm Type	ADENOMA, ISLET CELL, BENIGN	Islet Cell Adenoma	A benign neoplasm arising from the islet cells of the pancreas.	Experimental Organism Islet Cell Adenoma Neoplasm
C46119	C88025		Neoplasm Type	ADENOMA, LIGHT CELL, BENIGN		A benign epithelial neoplasm of the thyroid gland comprising follicular cells with cytoplasmic clearing.	Thyroid Gland Clear Cell Follicular Adenoma
C2973	C88025		Neoplasm Type	ADENOMA, MUCINOUS, BENIGN	Mucinous Adenoma; Mucinous Cystoma; Pseudomucinous Cystadenoma	A benign, cystic epithelial neoplasm comprising cells containing intracytoplasmic mucin.	Mucinous Cystadenoma
C79951	C88025		Neoplasm Type	ADENOMA, PAPILLARY, BENIGN		A benign epithelial neoplasm characterized by the presence of papillary epithelial patterns.	Papillary Adenoma
C156757	C88025		Neoplasm Type	ADENOMA, PARATHYROID GLAND, BENIGN		A benign neoplasm arising from the Chief cells of the parathyroid gland.	Parathyroid Gland Adenoma
C60490	C88025		Neoplasm Type	ADENOMA, PARS DISTALIS, BENIGN	Rat Pars Distalis Adenoma	A benign epithelial neoplasm arising from the pars distalis of the anterior pituitary gland.	Rat Pars Distalis Adenoma
C60493	C88025		Neoplasm Type	ADENOMA, PARS INTERMEDIA, BENIGN	Rat Pars Intermedia Adenoma	A benign epithelial neoplasm arising from the pars intermedia of the anterior pituitary gland.	Rat Pars Intermedia Adenoma
C98723	C88025		Neoplasm Type	ADENOMA, PITUITARY GLAND, BENIGN		A benign neoplasm of the pituitary gland.	Experimental Organism Pituitary Gland Adenoma
C8383	C88025		Neoplasm Type	ADENOMA, RENAL CELL, BENIGN	Renal Tubule Adenoma	A benign neoplasm arising from the renal cortex.	Kidney Adenoma
C40018	C88025		Neoplasm Type	ADENOMA, RETE OVARII, BENIGN		A benign adenoma arising from the rete ovarii, generally composed of intratubular mass(es) that distend the tubule.	Rete Ovarii Adenoma
C39956	C88025		Neoplasm Type	ADENOMA, RETE TESTIS, BENIGN		A benign epithelial neoplasm arising from the rete testis.	Rete Testis Adenoma
C4174	C88025		Neoplasm Type	ADENOMA, SEBACEOUS, BENIGN	Adenoma of Sebaceous Gland; Adenoma of the Sebaceous Gland; Adenoma, Sebaceous Cell; Sebaceous Gland Adenoma; Skin Appendage Sebaceous Adenoma	A benign adenoma neoplasm with sebaceous differentiation.	Sebaceous Adenoma
C7560	C88025		Neoplasm Type	ADENOMA, SWEAT GLAND, BENIGN	Adenoma of Sweat Gland; Adenoma of the Sweat Gland	A benign epithelias neoplasm arising from sweat glands.	Sweat Gland Adenoma
C209283	C88025		Neoplasm Type	ADENOMA, TUBULAR CELL, BENIGN		A benign neoplasm arising from glandular epithelium, characterized by a tubular architectural pattern.	Tubular Adenoma
C79953	C88025		Neoplasm Type	ADENOMA, TUBULOSTROMAL, BENIGN		A benign ovarian epithelial neoplasm characterized by the presence of tubular structures and interstitial stroma.	Tubulostromal Adenoma
C98800	C88025		Neoplasm Type	ADENOMA, ZYMBAL'S GLAND, BENIGN		A benign neoplasm of the rodent Zymbal's gland with sebaceous and/or squamous differentiation.	Zymbal's Gland Adenoma
C124607	C88025		Neoplasm Type	ADENOMYOEPITHELIOMA, BENIGN		A benign neoplasm characterized by the proliferation of myoepithelial cells and glandular epithelial cells.	Experimental Organism Benign Adenomyoepithelioma
C3726	C88025		Neoplasm Type	ADENOMYOMA, BENIGN		A benign neoplasm characterized by the presence of a glandular and a mesenchymal component.	Adenomyoma
C83488	C88025		Neoplasm Type	ADRENAL TUMOR, SUBCAPSULAR, BENIGN	Subcapsular Single Cell Adenoma, Adrenal	A benign neoplasm located beneath the adrenal capsule.	Benign Subcapsular Adrenal Tumor
C83489	C88025		Neoplasm Type	ADRENAL TUMOR, SUBCAPSULAR, MALIGNANT	Subcapsular Single Cell Carcinoma, Adrenal	A malignant neoplasm located beneath the adrenal capsule.	Malignant Subcapsular Adrenal Tumor
C7111	C88025		Neoplasm Type	AMELOBLASTOMA, BENIGN		A benign odontogenic neoplasm arising from the epithelial component of the embryonic tooth.	Benign Ameloblastoma
C54297	C88025		Neoplasm Type	AMELOBLASTOMA, MALIGNANT	Malignant Ameloblastoma	A malignant odontogenic neoplasm arising from the epithelial component of the embryonic tooth.	Metastasizing Ameloblastoma
C3799	C88025		Neoplasm Type	ANGIOFIBROMA, BENIGN	Angiofibromatous Hyperplasia; Fibroangioma, Benign; Fibrous Papule; Telangiectatic Fibroma	A benign, morphologic variant of fibroma characterized by the presence of numerous dilated vascular channels.	Angiofibroma
C3733	C88025		Neoplasm Type	ANGIOLIPOMA, BENIGN	Angiolipoma	A lipoma characterized by prominent vascularization.	Angiolipoma
C7173	C88025		Neoplasm Type	ASTROCYTOMA, DIFFUSE, MALIGNANT	Astrocytoma, Diffuse	A malignant astrocytic neoplasm characterized by a high degree of cellular differentiation, slow growth, and diffuse infiltration of neighboring brain structures.	Diffuse Astrocytoma
C119574	C88025		Neoplasm Type	ASTROCYTOMA, MALIGNANT		A malignant neoplasm of the brain or spinal cord originating from astrocytes.	Experimental Organism Malignant Astrocytoma
C111198	C88025		Neoplasm Type	BASAL CELL TUMOR, BENIGN	Adenoma, Basal Cell, Benign	A benign epithelial neoplasm with a uniform, monomorphic appearance that is dominated by basal cells.	Experimental Organism Basal Cell Adenoma
C103391	C88025		Neoplasm Type	BASALIOMA, BENIGN	Basalioma	A benign epithelial neoplasm arising from primary epithelial germ cells of the piliary complex.	Experimental Organism Benign Basalioma
C4614	C88025		Neoplasm Type	BASOSQUAMOUS TUMOR, BENIGN	Cutaneous Papilloma; Papilloma of Skin; Papilloma of the Skin	A benign papillary neoplasm of the skin.	Skin Papilloma
C2922	C88025		Neoplasm Type	BASOSQUAMOUS TUMOR, MALIGNANT	Basosquamous Carcinoma; Basosquamous Cell Carcinoma; Skin Mixed Basal and Squamous Cell Carcinoma	A basal cell carcinoma (skin neoplasm) which displays squamous differentiation.	Skin Basosquamous Cell Carcinoma
C114109	C88025		Neoplasm Type	CARCINOMA, ACIDOPHIL, MALIGNANT	Acidophil Adenocarcinoma; Acidophil Carcinoma; Eosinophil Adenocarcinoma; Eosinophil Carcinoma	A malignant epithelial neoplasm of the anterior pituitary gland in which the neoplastic cells stain positive with acidic dyes.	Experimental Organism Acidophil Carcinoma
C3768	C88025		Neoplasm Type	CARCINOMA, ACINAR CELL, MALIGNANT	Acinar Adenocarcinoma; Acinar Carcinoma; Acinar Cell Adenocarcinoma; Acinic Cell Adenocarcinoma; Acinic Cell Carcinoma	A malignant glandular epithelial neoplasm comprising secretory cells forming acinar patterns.	Acinar Cell Carcinoma
C3727	C88025		Neoplasm Type	CARCINOMA, ADENOSQUAMOUS, MALIGNANT	Mixed Adenocarcinoma and Epidermoid Carcinoma; Mixed Adenocarcinoma and Epidermoid Cell Carcinoma; Mixed Adenocarcinoma and Squamous Carcinoma; Mixed Adenocarcinoma and Squamous Cell Carcinoma	An epithelial neoplasm composed of malignant glandular and malignant squamous cells.	Adenosquamous Carcinoma
C3775	C88025		Neoplasm Type	CARCINOMA, ADNEXAL, MALIGNANT	Carcinoma of Adnexa; Carcinoma of Skin Appendage; Skin Appendage Carcinoma	A malignant epithelial neoplasm arising from sebaceous or sweat glands or from hair follicles.	Skin Adnexal Carcinoma
C9325	C88025		Neoplasm Type	CARCINOMA, ADRENOCORTICAL, MALIGNANT	Adenocarcinoma, Adrenocortical, Malignant; Adrenal Cortex Adenocarcinoma; Adrenal Cortex Cancer; Adrenal Cortical Adenocarcinoma; Adrenal Cortical Carcinoma; Adrenocortical Carcinoma; Cortical Cell Carcinoma	A malignant epithelial neoplasm arising from adrenal cortical cells.	Adrenal Cortical Carcinoma
C176393	C88025		Neoplasm Type	CARCINOMA, AMPHOPHILIC VACUOLAR, MALIGNANT		A malignant neoplasm of the renal tubules, composed of distinct lobules of large, round to polyhedral cells with vacuolated amphophilic to eosinophilic cytoplasm and prominent nucleoli. (Crabbs TA, Frame SR, Laast VA, Patrick DJ, Thomas J, Zimmerman B, Hardisty JF (2013) Occurrence of spontaneous amphophilic-vacuolar renal tubule tumors in Sprague-Dawley rats from subchronic toxicity studies. Toxicol Pathol 41:866-87)	Experimental Organism Amphophilic Vacuolar Carcinoma
C111199	C88025		Neoplasm Type	CARCINOMA, BASAL CELL, MALIGNANT	Basal Cell Cancer; Basal Cell Carcinoma; Basal Cell Epithelioma; Basal Cell Skin Carcinoma; BCC	A malignant epithelial neoplasm arising from basal cells.	Experimental Organism Basal Cell Carcinoma
C35875	C88025		Neoplasm Type	CARCINOMA, BRONCHIAL, MALIGNANT		A malignant neoplasia of the lung, arising from bronchial epithelium.	Bronchogenic Carcinoma
C2923	C88025		Neoplasm Type	CARCINOMA, BRONCHIOLOALVEOLAR, MALIGNANT	BAC; Bronchioalveolar Adenocarcinoma of Lung; Bronchioalveolar Adenocarcinoma of the Lung; Bronchioalveolar Lung Carcinoma; Bronchiolo-Alveolar Carcinoma of Lung; Bronchiolo-Alveolar Carcinoma of the Lung; Bronchiolo-Alveolar Lung Carcinoma; Bronchioloalveolar Adenocarcinoma of Lung; Bronchioloalveolar Adenocarcinoma of the Lung; Bronchioloalveolar Lung Adenocarcinoma	A malignant lung neoplasm originating from the alveolar/bronchiolar epithelium.	Minimally Invasive Lung Adenocarcinoma
C156611	C88025		Neoplasm Type	CARCINOMA, BRUNNER'S GLAND, MALIGNANT		A malignant epithelial neoplasm arising from the cells of the Brunner's gland. (INHAND)	Experimental Organism Brunner's Gland Carcinoma
C3879	C88025		Neoplasm Type	CARCINOMA, C-CELL, MALIGNANT	C Cell Carcinoma; Medullary Carcinoma; Medullary Carcinoma of the Thyroid; Medullary Carcinoma of the Thyroid Gland; Medullary Carcinoma of Thyroid; Medullary Carcinoma of Thyroid Gland; Medullary Thyroid Cancer; Medullary Thyroid Carcinoma; Medullary Thyroid Gland Carcinoma; MTC; Parafollicular Cell Carcinoma; Thyroid Gland Neuroendocrine Carcinoma; Thyroid Medullary Carcinoma	A neuroendocrine malignant epithelial neoplasm arising from C-cells of the thyroid gland.	Thyroid Gland Medullary Carcinoma
C4176	C88025		Neoplasm Type	CARCINOMA, CERUMINOUS GLAND, MALIGNANT		A malignant neoplasm derived from ceruminous glands in the external auditory canal.	Ceruminous Adenocarcinoma
C4715	C88025		Neoplasm Type	CARCINOMA, CHOROID PLEXUS, MALIGNANT	Anaplastic Choroid Plexus Papilloma; Cancer of Choroid Plexus; Cancer of the Choroid Plexus; Carcinoma of Choroid Plexus; Carcinoma of the Choroid Plexus; Choroid Plexus Cancer	A malignant neoplasm arising from the choroid plexus of the brain.	Choroid Plexus Carcinoma
C27255	C88025		Neoplasm Type	CARCINOMA, ECCRINE GLAND, MALIGNANT		A malignant carcinoma with eccrine differentiation arising from the sweat glands.	Eccrine Carcinoma
C3752	C88025		Neoplasm Type	CARCINOMA, EMBRYONAL, MALIGNANT	Carcinoma, Embryonal, Malignant	A non-seminomatous malignant germ cell neoplasm of the testis or ovary.	Embryonal Carcinoma
C7558	C88025		Neoplasm Type	CARCINOMA, ENDOMETRIAL, MALIGNANT	Carcinoma of Endometrium; Carcinoma of the Endometrium	A malignant epithelial neoplasm arising from the lining of the uterine body cavity.	Endometrial Carcinoma
C8054	C88025		Neoplasm Type	CARCINOMA, FOLLICULAR CELL, MALIGNANT	Follicular Adenocarcinoma; Follicular Cancer of the Thyroid; Follicular Cancer of the Thyroid Gland; Follicular Cancer of Thyroid; Follicular Cancer of Thyroid Gland; Follicular Carcinoma; Follicular Carcinoma of the Thyroid; Follicular Carcinoma of the Thyroid Gland; Follicular Carcinoma of Thyroid; Follicular Carcinoma of Thyroid Gland; Follicular Thyroid Cancer; Follicular Thyroid Carcinoma; Follicular Thyroid Gland Carcinoma; Thyroid Follicular Carcinoma; Well-differentiated Follicular Adenocarcinoma; Well-differentiated Follicular Carcinoma	A malignant neoplasia arising from follicular cells of the thyroid gland.	Thyroid Gland Follicular Carcinoma
C3099	C88025		Neoplasm Type	CARCINOMA, HEPATOCELLULAR, MALIGNANT	Carcinoma of Liver Cells; Carcinoma of the Liver Cells; HCC; Hepatoma; Liver Cell Carcinoma; Primary Carcinoma of Liver Cells; Primary Carcinoma of the Liver Cells	A malignant neoplasm arising from hepatocytes.	Hepatocellular Carcinoma
C103393	C88025		Neoplasm Type	CARCINOMA, HEPATOCHOLANGIOCELLULAR, MALIGNANT	Hepatocholangiocellular Carcinoma	A malignant mixed neoplasm of the liver comprising neoplastic hepatocytes and bile duct epithelial cells; both elements displaying evidence of malignancy.	Experimental Organism Malignant Hepatocholangiocellular Carcinoma
C2917	C88025		Neoplasm Type	CARCINOMA, IN SITU, MALIGNANT	CIS; Epithelial Tumor, In situ, Malignant; Intraepithelial Carcinoma; Non-invasive Carcinoma	A malignant epithelial neoplasm confined to the epithelial layer and without evidence of further tissue invasion.	Carcinoma In Situ
C3770	C88025		Neoplasm Type	CARCINOMA, ISLET CELL, MALIGNANT	Islet Cell Cancer; Islet Cell Carcinoma; Malignant Islet Cell Tumor; Malignant Pancreatic Endocrine Tumor; Pancreatic Neuroendocrine Carcinoma	A malignant endocrine neoplasm arising from islets of Langerhans of the pancreas.	Pancreatic Neuroendocrine Carcinoma
C2916	C88025		Neoplasm Type	CARCINOMA, MALIGNANT	Epithelial Carcinoma; Epithelioma Malignant; Malignant Epithelial Neoplasm; Malignant Epithelial Tumor; Malignant Epithelioma	A malignant epithelial neoplasm.	Carcinoma
C124608	C88025		Neoplasm Type	CARCINOMA, NEUROEPITHELIAL, MALIGNANT		A malignant carcinoma that arises from the olfactory epithelium, from either sensory and/or sustentacular cells.	Experimental Organism Malignant Neuroepithelial Carcinoma
C4906	C88025		Neoplasm Type	CARCINOMA, PARATHYROID GLAND, MALIGNANT		A malignant neoplasm arising from the Chief cells of the parathyroid gland.	Parathyroid Gland Carcinoma
C60491	C88025		Neoplasm Type	CARCINOMA, PARS DISTALIS, MALIGNANT	Rat Pars Distalis Carcinoma	A malignant epithelial neoplasm arising from the pars distalis of the pituitary gland.	Rat Pars Distalis Carcinoma
C92183	C88025		Neoplasm Type	CARCINOMA, PARS INTERMEDIA, MALIGNANT	Rat Pars Intermedia Carcinoma	A malignant epithelial neoplasm arising from the pars intermedia of the pituitary gland.	Rat Pars Intermedia Carcinoma
C9385	C88025		Neoplasm Type	CARCINOMA, RENAL CELL, MALIGNANT	Adenocarcinoma of Kidney; Adenocarcinoma of the Kidney; Kidney Adenocarcinoma; RCC; Renal Cell Adenocarcinoma; Renal Cell Cancer; Renal Cell Carcinoma, Stage Unspecified	A malignant neoplasm arising from renal parenchyma.	Renal Cell Carcinoma
C8955	C88025		Neoplasm Type	CARCINOMA, RETE TESTIS, MALIGNANT		A malignant carcinoma that arises from the rete testis.	Rete Testis Adenocarcinoma
C27004	C88025		Neoplasm Type	CARCINOMA, SPINDLE CELL, MALIGNANT	Pseudosarcomatous Carcinoma; Spindle Cell Carcinoma	A malignant epithelial neoplasm characterized by the presence of spindle cells.	Sarcomatoid Carcinoma
C27093	C88025		Neoplasm Type	CARCINOMA, SQUAMOUS CELL, IN SITU, MALIGNANT	Epidermoid Carcinoma In situ; Epidermoid Cell Carcinoma In situ; Grade 3 Squamous Intraepithelial Neoplasia; Grade III Squamous Intraepithelial Neoplasia; Intraepithelial Squamous Cell Carcinoma; Squamous Carcinoma In situ; Squamous Cell Carcinoma In situ	A malignant epithelial neoplasm confined to the squamous epithelium, without invasion of underlying tissues.	Squamous Cell Carcinoma In Situ
C2929	C88025		Neoplasm Type	CARCINOMA, SQUAMOUS CELL, MALIGNANT	Epidermoid Carcinoma; Epidermoid Cell Cancer; Malignant Epidermoid Cell Neoplasm; Malignant Epidermoid Cell Tumor; Malignant Squamous Cell Neoplasm; Malignant Squamous Cell Tumor; Squamous Carcinoma; Squamous Cell Cancer; Squamous Cell Epithelioma	A malignant neoplasm arising from squamous epithelial cells.	Squamous Cell Carcinoma
C6938	C88025		Neoplasm Type	CARCINOMA, SWEAT GLAND, MALIGNANT	Carcinoma of Sweat Gland; Carcinoma of the Sweat Gland	A malignant neoplasm arising from sweat glands.	Sweat Gland Carcinoma
C65192	C88025		Neoplasm Type	CARCINOMA, TUBULAR CELL, MALIGNANT		A malignant glandular neoplasm exhibiting tubular structures.	Tubular Adenocarcinoma
C80356	C88025		Neoplasm Type	CARCINOMA, TUBULOSTROMAL, MALIGNANT		A malignant epithelial neoplasm of the ovary with tubular and stromal neoplastic components.	Tubulostromal Adenocarcinoma
C3692	C88025		Neoplasm Type	CARCINOMA, UNDIFFERENTIATED, MALIGNANT	Anaplastic Carcinoma; Carcinoma, Undifferentiated	A malignant epithelial neoplasm exhibiting poor differentiation (anaplasia).	Undifferentiated Carcinoma
C2930	C88025		Neoplasm Type	CARCINOMA, UROTHELIAL, MALIGNANT	Transitional Cell Carcinoma	A malignant neoplasm arising from transitional epithelium, usually affecting the urinary bladder, ureter, or renal pelvis.	Transitional Cell Carcinoma
C98801	C88025		Neoplasm Type	CARCINOMA, ZYMBAL'S GLAND, MALIGNANT		A malignant neoplasm of the rodent Zymbal's gland with sebaceous and/or squamous differentiation.	Zymbal's Gland Carcinoma
C34448	C88025		Neoplasm Type	CARCINOSARCOMA, MALIGNANT		A malignant neoplasm comprising a mixture of carcinomatous and sarcomatous elements.	Carcinosarcoma
C5358	C88025		Neoplasm Type	CARDIAC SCHWANNOMA, BENIGN	Schwannoma, Endocardial, Benign	A benign peripheral nervous system neoplasm that is composed of well-differentiated Schwann cells and affects the heart.	Cardiac Schwannoma
C5367	C88025		Neoplasm Type	CARDIAC SCHWANNOMA, MALIGNANT		A malignant peripheral nerve sheath tumor that arises in cardiac tissue.	Cardiac Malignant Peripheral Nerve Sheath Tumor
C79950	C88025		Neoplasm Type	CHEMODECTOMA, BENIGN	Benign Chemodectoma	A benign neoplasm of the chemoreceptor system (e.g. carotid body, glomus jugulare, glomus vagale).	Non-Metastatic Carotid Body Paraganglioma
C3574	C88025		Neoplasm Type	CHEMODECTOMA, MALIGNANT	Malignant Carotid Body Neoplasm; Malignant Carotid Body Tumor; Malignant Neoplasm of Carotid Body; Malignant Neoplasm of the Carotid Body; Malignant Tumor of Carotid Body; Malignant Tumor of the Carotid Body	A malignant neoplasm of the chemoreceptor system (e.g. carotid body, glomus jugulare, glomus vagale).	Metastatic Carotid Body Paraganglioma
C35417	C88025		Neoplasm Type	CHOLANGIOCARCINOMA, INTRAHEPATIC, MALIGNANT	Intrahepatic Bile Duct Carcinoma; Intrahepatic Carcinoma of Bile Duct; Intrahepatic Carcinoma of the Bile Duct	A malignant neoplasm of the liver arising from/comprising cells resembling those of bile ducts.	Intrahepatic Cholangiocarcinoma
C4436	C88025		Neoplasm Type	CHOLANGIOCARCINOMA, MALIGNANT	Cholangiocellular Carcinoma	A malignant neoplasm arising from/comprising cells resembling those of bile ducts.	Cholangiocarcinoma
C2942	C88025		Neoplasm Type	CHOLANGIOMA, BENIGN	Adenoma of Bile Duct; Adenoma of the Bile Duct; Cholangioadenoma; Cholangioma; Hepatocholangiocellular Adenoma; Hepatocholangioma	A benign neoplasm arising from/comprising cells resembling those of bile ducts.	Bile Duct Adenoma
C53459	C88025		Neoplasm Type	CHONDROMA, BENIGN		A benign, well circumscribed neoplasm arising from the hyaline cartilage in soft tissue or bone. It is characterized by the presence of chondrocytes.	Chondroma
C2946	C88025		Neoplasm Type	CHONDROSARCOMA, MALIGNANT		A malignant mesenchymal neoplasm arising from cartilage-forming tissues.	Chondrosarcoma
C60334	C88025		Neoplasm Type	CHORDOMA, BENIGN		A benign bone neoplasm arising from the remnants of the fetal notochord.	Rat Benign Chordoma
C2947	C88025		Neoplasm Type	CHORDOMA, MALIGNANT		A malignant bone neoplasm arising from the remnants of the fetal notochord.	Chordoma
