Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C176472	C124310		Fetal Pathology Findings Result	BLUNT-TIPPED		Rounded or flat at the end, not tapered. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Blunt-Tipped
C61482	C124310		Fetal Pathology Findings Result	BRANCHED	Bifurcated; Forked	Having one or more collateral divisions of the structure, resembling the branches of a tree. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Branch
C186228	C124310		Fetal Pathology Findings Result	BRANCHING VARIATION		Variation in the arrangement of vessels arising from an artery or vein. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Vessel Branching Variation
C124503	C124310		Fetal Pathology Findings Result	CARTILAGE NOT FUSED		A finding referring to incomplete or absent chondrogenesis.	Cartilage Not Fused
C124504	C124310		Fetal Pathology Findings Result	CARTILAGINOUS FUSION		Joined together by cartilage.	Cartilaginous Fusion
C124505	C124310		Fetal Pathology Findings Result	CAUDAL DYSPLASIA		Severe reduction of caudal structures, including reduction of or absence of hindlimbs, tail, and/or sacral area. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Caudal Dysplasia
C124506	C124310		Fetal Pathology Findings Result	CEBOCEPHALY		Two orbital cavities and two eyes present, the region between being narrowed. Expected skeletal alterations include fused frontonasal and/or maxillary bones and incisors. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Cebocephaly
C124507	C124310		Fetal Pathology Findings Result	CELOSOMY		A developmental defect characterized by incomplete closure of the anterior body wall, resulting in herniation, to variable degrees, of thoracic and/or abdominal viscera. The sternum, sternal ends of ribs, and muscular body wall are usually defective or poorly developed. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Celosomy
C158329	C124310		Fetal Pathology Findings Result	CERVICAL RIB		Presence of rib formation in the cervical region.	Cervical Rib
C124508	C124310		Fetal Pathology Findings Result	CHEILOGNATHOPALATOSCHISIS	Cheilognathouranoschisis	Cleft lip, upper jaw, and palate. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Cheilognathopalatoschisis
C124509	C124310		Fetal Pathology Findings Result	CHEILOGNATHOSCHISIS		Cleft lip and jaw. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Cheilognathoschisis
C61510	C124310		Fetal Pathology Findings Result	CLEFT		A split or fissure of a facial structure.	Cleft
C124514	C124310		Fetal Pathology Findings Result	COLLAPSED LUMEN		A finding in which the walls of a tube or tubular organ have contorted or buckled into its cavity or channel. (NCI)	Collapsed Lumen
C124515	C124310		Fetal Pathology Findings Result	COLORED MATERIAL		Presence of colored substance. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Red-Brown Material
C186229	C124310		Fetal Pathology Findings Result	COMMON CAROTID TRUNK		Common origin for left subclavian and left carotid arteries.	Common Carotid Trunk
C124516	C124310		Fetal Pathology Findings Result	COMMON ORIGIN		An indication that anatomical structures, typically blood vessels, are arising from the same location.	Vessel Common Origin
C98903	C124310		Fetal Pathology Findings Result	CONJOINED TWINS		Monozygotic twins with variable incomplete separation into two during cleavage or early stages of embryogenesis. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Conjoined Twins
C61301	C124310		Fetal Pathology Findings Result	CONVOLUTED	Coiled; Twisted	Folded, curved and/or tortuous windings.	Convolution
C124517	C124310		Fetal Pathology Findings Result	CRANIAL MENINGOCELE		Herniation of meninges through a defect in skull. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Cranial Meningocele
C124518	C124310		Fetal Pathology Findings Result	CRANIOFENESTRIA		Multiple unossified area(s) of the cranium. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Craniofenestria
C98907	C124310		Fetal Pathology Findings Result	CRANIORACHISCHISIS	Cranial Rachischisis	A congenital fissure of both the skull and vertebral column. (Saunders. (1988). Dorland's illustrated medical dictionary. (27th ed.). Philadelphia)	Craniorachischisis
C124519	C124310		Fetal Pathology Findings Result	CRANIOSCHISIS		Fissure of the cranial region of the head with varying degrees of the brain exposed. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Cranioschisis
C84655	C124310		Fetal Pathology Findings Result	CRANIOSYNOSTOSIS		Premature closure of cranial sutures with fusion of bone, resulting in small maldeveloped skull; used to describe multiple skull bone fusions. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Craniosynostosis
C124520	C124310		Fetal Pathology Findings Result	CRYPTOPHTHALMIA	Cryptophthalmos	Skin continuous over eye(s) without formation of eyelid(s). (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Cryptophthalmia
C176473	C124310		Fetal Pathology Findings Result	CURLED	Curly	Curved into nearly a full circle, or coiled. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Curly
C124522	C124310		Fetal Pathology Findings Result	CYCLOPIA	Monophthalmia; Single Eyeball; Synophthalmia	Single median orbit; eyeball(s) can be absent, completely or incompletely fused. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.).	Cyclopia
C2978	C124310		Fetal Pathology Findings Result	CYST		A sac-like closed pocket of tissue that may be empty or may be filled with fluid, gas, semisolid, or amorphous material. It typically has an outer epithelial-lined capsule.	Cyst
C124523	C124310		Fetal Pathology Findings Result	DECREASED ANOGENITAL DISTANCE		Shortened distance between anus and genital tubercle. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Anogenital Distance Decreased
C43429	C124310		Fetal Pathology Findings Result	DEFECT		Imperfection or abnormality that may affect form or function.	Defect
C124639	C124310		Fetal Pathology Findings Result	DEPRESSION		Nonpatent localized recess in a structure or tissue. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Depression
C124524	C124310		Fetal Pathology Findings Result	DETACHED	Floating; Non-articulated	Physically separated or not connected. (NCI)	Detached
C84669	C124310		Fetal Pathology Findings Result	DEXTROCARDIA		A congenital abnormality in which the heart is located in the right side of the chest.	Dextrocardia
C113136	C124310		Fetal Pathology Findings Result	DILATATION	Dilation	Expansion of the cavity, ducts or lumen of a hollow organ or vessel.	Dilation
C124525	C124310		Fetal Pathology Findings Result	DISCOLORED		Not the normal color. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Discoloration
C186230	C124310		Fetal Pathology Findings Result	DISTAL OSSIFICATION SITE		Ossification site(s) in the cartilaginous distal region of the bone. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Distal Ossification Site
C124526	C124310		Fetal Pathology Findings Result	DISTENDED		Enlarged or expanded organ due to an increase of the contents. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Distended
C26753	C124310		Fetal Pathology Findings Result	DIVERTICULUM		A sac-like protrusion in the wall of a hollow organ or tissue.	Diverticulum
C176474	C124310		Fetal Pathology Findings Result	DOMED		The appearance of a structure or body part that is more elevated and rounded than normal. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Domed
C98916	C124310		Fetal Pathology Findings Result	DOUBLE OUTLET RIGHT VENTRICLE		Pulmonary trunk and aorta arise from the right ventricle. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Double Outlet Right Ventricle
C124528	C124310		Fetal Pathology Findings Result	DUMBBELL OSSIFICATION		Two approximately spherical ossification sites attached at or near the mid-line by an ossified bridge. Commonly used for structures arising from two primary centers (e.g., sternebrae, vertebral centra). Applies only to the ossification sites. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Dumbbell Ossification
C185903	C124310		Fetal Pathology Findings Result	DUPLICATED		Of, or pertaining to, a copy of an entity that is of similar shape or size.	Duplicate
C3002	C124310		Fetal Pathology Findings Result	EDEMA		Excessive amount of watery fluid in tissues or cavities, generally characterized microscopically as clear spaces separating tissue components.	Edema
C176475	C124310		Fetal Pathology Findings Result	ERUPTED		The emergence of a structure or body part.	Eruption
C124529	C124310		Fetal Pathology Findings Result	ETHMOCEPHALY		Some degree of cyclopia in which the eyes may be closely set but the snout is small. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Ethmocephaly
C124530	C124310		Fetal Pathology Findings Result	EVAGINATION		A finding that indicates that an anatomic structure is partially or completely turned inside out.	Evagination
C185902	C124310		Fetal Pathology Findings Result	EVENTRATION		A localized protrusion of a structure into an adjacent structure or cavity.	Eventration
C124531	C124310		Fetal Pathology Findings Result	EXENCEPHALY		Brain protrudes outside the skull due to absence of all or part of the cranial vault. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Exencephaly
C124532	C124310		Fetal Pathology Findings Result	EXTERNAL AURAL FISTULA		An opening to a cyst produced by a persistent lateral cervical sinus or reduplicated 1st pharyngeal cleft usually located ventral to the ear. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	External Auditory Canal Fistula
C124533	C124310		Fetal Pathology Findings Result	EXTERNALIZED HEART	Ectopia Cordis; Exocardia	Heart displaced outside thoracic cavity. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Externalized Heart
C186231	C124310		Fetal Pathology Findings Result	EXTRACAPSULAR TISSUE		The presence of tissue situated outside of a capsule.	Extracapsular Tissue
C3045	C124310		Fetal Pathology Findings Result	FISTULA		Abnormal passage or communication between two normally unconnected structures, body cavities, or the surface of the body. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Fistula
C124534	C124310		Fetal Pathology Findings Result	FLESHY TAB		Small tag of tissue without bony support.	Fleshy Tab
C124535	C124310		Fetal Pathology Findings Result	FLUID FILLED		A finding indicating that that an anatomic space or cavity is filled with fluid.	Fluid-Filled
C124536	C124310		Fetal Pathology Findings Result	FRAGMENT		A division into several small pieces.	Fragmented
C124538	C124310		Fetal Pathology Findings Result	FUSED TO FLOOR OF MOUTH	Ankyloglossia	Shortness or absence of the frenulum of the tongue; tongue fused to the floor of the mouth. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Ankyloglossia
C124537	C124310		Fetal Pathology Findings Result	FUSED		Joined or blended together. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Fused
C84725	C124310		Fetal Pathology Findings Result	GASTROSCHISIS	Eventration	Fissure of abdominal wall, not involving the umbilicus, and usually accompanied by protrusion of viscera which may or may not be covered by a membranous sac. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Gastroschisis
C124539	C124310		Fetal Pathology Findings Result	HEMICENTRIC		Absence of either hemicentrum of a centrum. Structural change involving the bone precursor. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Hemicentric
C34674	C124310		Fetal Pathology Findings Result	HEMIMELIA		Absence or shortening of the distal segment(s) of limbs. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Hemimelia
C124540	C124310		Fetal Pathology Findings Result	HEMISTERNEBRA		Absent sternebral hemicenter. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Hemisternebra
C124541	C124310		Fetal Pathology Findings Result	HEMIVERTEBRA		Absence of a lateral half (arch + hemicentrum) of a vertebra. Structural change involving the bone precursor. (Makris S, Solomon HM, Clark R, Shiota K, Barbellion S, Buschmann J, Ema M, Fujiwara M, Grote K, Hazelden KP, Hew KW, Horimoto M, Ooshima Y, Parkinson M, Wise LD. Terminology of developmental abnormalities in common laboratory mammals (Version 2). Part B. Birth Defects Res B Dev Reprod Toxicol. 2009 Aug;86(4):227-327.)	Hemivertebra
C26791	C124310		Fetal Pathology Findings Result	HEMORRHAGE		The presence of extravascular erythrocytes.	Hemorrhage
