Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C77689	C77529		Specimen	BONE MARROW, SCAPULA		Bone marrow in the scapula. (NCI)	Bone Marrow, Scapula
C77690	C77529		Specimen	BONE MARROW, STERNUM	Bone Marrow, Sternal	Bone marrow in the sternum. (NCI)	Bone Marrow, Sternum
C77691	C77529		Specimen	BONE MARROW, TIBIA		Bone marrow in the tibia bone. (NCI)	Bone Marrow, Tibia
C77692	C77529		Specimen	BONE MARROW, VERTEBRUM	Bone Marrow, Vertebral	Bone marrow in a vertebral bone. (NCI)	Bone Marrow, Vertebral
C12366	C77529		Specimen	BONE		Calcified connective tissue that forms the skeletal components of the body. (NCI)	Bone
C32164	C77529		Specimen	BONE, AUDITORY OSSICLES	Ossicles of the Ear	Any of the small bones in the middle ear that transmit acoustic vibrations from the eardrum to the inner ear.	Auditory Ossicle
C81188	C77529		Specimen	BONE, CALVARIUM		The roof or dome of the skull. (NCI)	Skullcap
C12688	C77529		Specimen	BONE, CARPAL		Any of the bones of the joint located between the radius and ulna and metacarpus.	Carpal Bone
C12695	C77529		Specimen	BONE, CLAVICLE		The paired bone that is situated between the sternum and the shoulder.	Clavicle
C83002	C77529		Specimen	BONE, CONDYLE		A rounded bony projection at the end of the bone. (NCI)	Condyle
C12717	C77529		Specimen	BONE, FEMUR	Bone, Femoral	The bone positioned between the pelvis and the femorotibial joint.	Femur
C135523	C77529		Specimen	BONE, FEMUR/JOINT, FEMOROTIBIAL		A tissue sample that contains the femur and femorotibial joint. (NCI)	Femur/Femorotibial Joint
C12718	C77529		Specimen	BONE, FIBULA		The long bone that is lateral to the tibia.	Fibula
C12731	C77529		Specimen	BONE, HUMERUS	Bone, Humeral	The bone between the scapulohumeral and humeroulnar joints.	Humerus
C32765	C77529		Specimen	BONE, ILIUM	Ilium	The broad, dorsal, upper, and widest of the three principal bones composing either half of the pelvis. (NCI)	Ilium
C12290	C77529		Specimen	BONE, MANDIBLE	Bone, Mandibular; Inferior Maxillary Bone; Lower Jaw; Mandible	The lower jaw bone holding the lower teeth. (NCI)	Mandible
C26470	C77529		Specimen	BONE, MAXILLA		The upper jaw bone holding the upper teeth.	Maxilla
C12751	C77529		Specimen	BONE, METACARPAL		Any of the bones between the carpus and the phalanges.	Metacarpal Bone
C12752	C77529		Specimen	BONE, METATARSAL	Metatarsal Bone	Any of the bones between the tarsus and the phalanges.	Metatarsal Bone
C33282	C77529		Specimen	BONE, PATELLA		A small bone in front of the femorotibial joint that articulates with the femur.	Patella
C33287	C77529		Specimen	BONE, PELVIS	Pelvic Bone	The bony structure composed of the ilium, ishium, pubis and sacrum, which are typically fused during maturation.	Pelvic Bone
C33317	C77529		Specimen	BONE, PHALANGE	Phalanx	Any of the bones that make up the digits of the hand/forepaw, foot/hindpaw, or hoof.	Phalanx
C12777	C77529		Specimen	BONE, RADIUS		The long bone that lies between the radiohumeral joint and the carpus and is adjacent to the ulna.	Radius Bone
C12782	C77529		Specimen	BONE, RIB		Any one of the paired bones, extending from the thoracic vertebrae toward the median line on the ventral aspect of the trunk.	Rib
C12783	C77529		Specimen	BONE, SCAPULA	Shoulder Blade	A bone that articulates with the humerus and is part of the scapulohumeral joint.	Scapula
C12789	C77529		Specimen	BONE, SKULL	Bone, Skull; Cranium; Skull Bone	The bones that form the head, made up of the bones of the braincase and face. (NCI)	Skull
C12793	C77529		Specimen	BONE, STERNUM	Sterna	The long, flat bone or sternebrae connecting with the cartilage of some ribs.	Sternum
C12796	C77529		Specimen	BONE, TARSUS	Bone, Tarsal	Any of the short bones between the tibiotarsal joint and the tarsometatarsal joint.	Tarsal Bone
C12800	C77529		Specimen	BONE, TIBIA		The long bone that is medial to the fibula.	Tibia
C12809	C77529		Specimen	BONE, ULNA		The bone that contains the olecranon process, lies between the radiohumeral joint and the carpus, and is adjacent to the radius.	Ulna
C33868	C77529		Specimen	BONE, VERTEBRA	Vertebra; Vertebral Bone	Any of the small bones that comprise the vertebral column.	Vertebral Bone
C12439	C77529		Specimen	BRAIN	Nervous System, Brain	An organ composed of gray and white matter that is the center for intelligence and reasoning. It is protected by the bony cranium.	Brain
C12440	C77529		Specimen	BRAIN, AMYGDALOID BODY	Amygdala; Amygdaloid Body; Amygdaloid Nucleus	A group of nuclei adjacent to the lateral ventricle of the brain within the temporal lobe, and is part of the limbic system.	Amygdala
C12447	C77529		Specimen	BRAIN, BASAL GANGLIA		Clusters of neurons comprising the globus pallidus, putamen, caudate, nucleus accumbens, substantia nigra and subthalamic nucleus.	Basal Ganglia
C12441	C77529		Specimen	BRAIN, BRAIN STEM	Brain Stem	The part of the brain that connects the cerebral hemispheres with the spinal cord. It consists of the mesencephalon, pons, and medulla oblongata. (NCI)	Brain Stem
C12445	C77529		Specimen	BRAIN, CEREBELLUM		The portion of the brain that extends from the brainstem through the cerebellar folia.	Cerebellum
C12351	C77529		Specimen	BRAIN, CEREBRUM		The portion of the brain comprising the frontal, parietal, temporal, and occipital lobes and extending through the thalamus.	Cerebral Hemisphere
C12694	C77529		Specimen	BRAIN, CHOROID PLEXUS		Blood vessels and ependyma forming villous structures in the ventricles of the brain.	Choroid Plexus
C12837	C77529		Specimen	BRAIN, COCHLEAR NUCLEI		A collection of nuclei in the brainstem at which the auditory nerves terminate.	Cochlear Nucleus
C12446	C77529		Specimen	BRAIN, CORPUS CALLOSUM		A white matter structure within the brain that connects the left and right cerebral hemispheres.	Corpus Callosum
C40185	C77529		Specimen	BRAIN, FOREBRAIN		The largest part of the brain composed of the cerebral hemispheres, thalamus, hypothalamus, and the limbic system. (NCI)	Forebrain
C12444	C77529		Specimen	BRAIN, HIPPOCAMPUS		A curved gray matter structure of the cerebrum that is part of the limbic system.	Hippocampus
C12458	C77529		Specimen	BRAIN, HYPOTHALAMUS		A small region of the brain composed of multiple nuclei and located underneath the thalamus.	Hypothalamus
C12442	C77529		Specimen	BRAIN, MEDULLA OBLONGATA		The portion of the brainstem between the pons and cervical spinal cord.	Medulla Oblongata
C12510	C77529		Specimen	BRAIN, MIDBRAIN	Mesencephalon	The portion of the brainstem between the pons and diencephalon.	Mesencephalon
C92592	C77529		Specimen	BRAIN, OBEX		The region of the medulla oblongata at which the fourth ventricle transitions into the central canal of the spinal cord.	Obex Region
C28401	C77529		Specimen	BRAIN, OLFACTORY BULB		The portion of the vertebrate forebrain that lies behind the ethmoid bones; it begins the rhinencephalon.	Olfactory Bulb
C12511	C77529		Specimen	BRAIN, PONS	Pons; Pons Varolii	The portion of the brainstem between the midbrain and medulla oblongata.	Pons Varolii
C12453	C77529		Specimen	BRAIN, SUBSTANTIA NIGRA		The portion of the midbrain composed of two parts, the pars compacta and pars reticulata.	Substantia Nigra
C12459	C77529		Specimen	BRAIN, THALAMUS		The portion of the diencephalon forming most of each lateral wall of the third ventricle.	Thalamus
C97340	C77529		Specimen	BRAIN, VISUAL CORTEX		A brain region in the occipital cortex that receives visual stimuli from the retina. (NCI)	Primary Visual Cortex
C12683	C77529		Specimen	BRONCHUS	Bronchi	Tubular structure in continuation with the trachea, serving as an air passage.	Bronchus
C32234	C77529		Specimen	BRONCHUS-ASSOCIATED LYMPHOID TISSUE	BALT	Lymphoid tissue located in the mucosa of the bronchi.	Bronchus-Associated Lymphoid Tissue
C84507	C77529		Specimen	BUFFY COAT		The middle fraction of an anticoagulated blood specimen following separation by centrifugation. It contains most of the white blood cells and platelets.	Buffy Coat
C111141	C77529		Specimen	BURSA OF FABRICIUS		A region of the cloaca in avian species responsible for B-cell maturation.	Bursa of Fabricius
C25264	C77529		Specimen	CARINA	Carina, Tracheal	A ridge at the bifurcation of the trachea where the primary bronchi meet.	Carina
C66852	C77529		Specimen	CAROTID BODY		A cluster of cells that function as chemo-receptors, located near the bifurcation of the carotid artery.	Carotid Body
C32268	C77529		Specimen	CARTILAGE	Cartilaginous	A type of connective tissue composed of chondrocytes and an extracellular matrix. There are three types of cartilage; namely elastic, hyaline, and fibrocartilage.	Cartilaginous Tissue
C16403	C77529		Specimen	CELL LINE		A defined cell population established from serial passage of cells in culture.	Cell Line
C12311	C77529		Specimen	CERVIX	Cervix Uteri; Uterine Cervix	The portion of the uterus (or uterine horns) that empties into the vagina.	Cervix Uteri
C111156	C77529		Specimen	CHEEK POUCH		An invagination of the oral mucosa within the cheek of some mammals that forms a pocket.	Cheek Pouch
C13070	C77529		Specimen	CHEEK		The soft tissue on the lateral aspects of the face, generally bounded by the eyes, nose, ear, and jaw line.	Cheek
C12308	C77529		Specimen	CLITORIS		The erectile tissue in the vulva. It is composed of the corpora cavernosa and the glans clitoris.	Clitoris
C34127	C77529		Specimen	CLOACA		The singular posterior opening of the intestinal and urinary tracts of birds, reptiles, amphibians, marsupials and monotremes. (NCI)	Cloaca
C12341	C77529		Specimen	CONJUNCTIVA		A thin tissue divided into the palpebral conjunctiva (covering the inner side of the eye lid) and the bulbar conjunctiva (covering the eyeball). (NCI)	Conjunctiva
C12902	C77529		Specimen	CONJUNCTIVA, BULBAR		The part of the conjunctiva that covers the eyeball.	Bulbar Conjunctiva
C12901	C77529		Specimen	CONJUNCTIVA, PALPEBRAL		The part of the conjunctiva that covers the inner surface of the eyelid.	Palpebral Conjunctiva
C12374	C77529		Specimen	CONNECTIVE TISSUE		The supporting or framework tissue of the body, formed of fibrous and ground substance with a variety of cell types. The varieties of connective tissue are: areolar or loose; adipose; dense, regular or irregular, white fibrous; elastic; mucous; lymphoid tissue; cartilage; bone.	Connective Tissue
C12316	C77529		Specimen	CORPUS UTERI	Uterine Body; Uterus, Corpus	The body of the uterus.	Corpus Uteri
C32392	C77529		Specimen	COSTOCHONDRAL JUNCTION	Costochondral Joint; Costochondral Junction, Rib	A synchondrosis between the rib and the costal cartilage.	Costochondral Joint
C111162	C77529		Specimen	CROP	Ingluvies	A saccular expansion of the esophagus in most avian species that can be used for food storage.	Crop
C12948	C77529		Specimen	DUCT		A tube that carries various secretions from one part of the body to another. (NCI)	Duct
C12376	C77529		Specimen	DUCT, BILE		Any of the ducts conveying bile between the liver and the intestine, including hepatic, cystic, and common bile duct.	Bile Duct
C12698	C77529		Specimen	DUCT, COMMON BILE	Common Duct	A duct that conveys bile from the convergence of the cystic and hepatic duct to the duodenum.	Common Bile Duct
C32356	C77529		Specimen	DUCT, COMMON HEPATIC	Common Hepatic Duct	A duct that conveys bile from the convergence of the left and right hepatic ducts to the common bile duct.	Common Hepatic Duct
C32421	C77529		Specimen	DUCT, CYSTIC		A duct that conveys bile from the gallbladder to the common bile duct.	Cystic Duct
C32492	C77529		Specimen	DUCT, EFFERENT		A duct or ducts that convey spermatozoa from the rete testis to the head of the epididymis.	Efferent Duct
C33161	C77529		Specimen	DUCT, NASOLACRIMAL		A duct that conveys tears from the eye to the nasal cavity.	Nasolacrimal Duct
C154699	C77529		Specimen	DUCT, PANCREATIC		Any of the ducts that conveys pancreatic secretions from the pancreas to the duodenum.	Main Pancreatic and Accessory Ducts
C12498	C77529		Specimen	EAR CANAL	Auditory Canal; Ear Canal; External Acoustic Meatus; External Auditory Canal; External Auditory Meatus	A tubular structure that runs from the outer ear to the tympanic membrane.	External Acoustic Meatus
C12394	C77529		Specimen	EAR		A sensory organ that contains auditory and vestibular apparatuses.	Ear
C12395	C77529		Specimen	EAR, COCHLEA		The snail shell-shaped auditory component of the inner ear.	Cochlea
C200023	C77529		Specimen	EGG		The reproductive body consisting of an ovum together with its nutritive and protective envelopes and other specialized support structures.	Egg
C12328	C77529		Specimen	EPIDIDYMIS		A crescent-like structure located adjacent to the testis. It consists of a single highly coiled duct and is divided into 3 regions: caput (head), corpus (body) and cauda (tail).	Epididymis
C33732	C77529		Specimen	EPIDIDYMIS, CAUDA		The region of the epididymis that connects to the vas deferens.	Tail of the Epididymis
C32529	C77529		Specimen	EPIPHYSIS		The end of long bones that lies adjacent to the metaphysis.	Epiphysis of the Bone
C12389	C77529		Specimen	ESOPHAGUS		The portion of the digestive tract between the pharynx and stomach.	Esophagus
C12500	C77529		Specimen	EUSTACHIAN TUBE	Auditory Tube; Pharyngotympanic Tube; Tuba Auditoria	A tubular structure that extends from the middle ear to the nasopharynx.	Eustachian Tube
C12401	C77529		Specimen	EYE	Eyeball	The sensory organ of vision.	Eye
C12667	C77529		Specimen	EYE, ANTERIOR CHAMBER		The space in the eye filled with aqueous humor and bounded by the cornea, a small portion of the sclera, a small portion of the ciliary body, the iris and lens. (Cline et al., Dictionary of Visual Science, 4th ed, p109)	Anterior Chamber of the Eye
C13190	C77529		Specimen	EYE, AQUEOUS HUMOR	Aqueous Humour	The watery fluid which is present in the anterior and posterior chambers of the eye. (NCI)	Aqueous Humor
C12344	C77529		Specimen	EYE, CHOROID		A blood vessel-containing membrane of the eye that lies between the retina and the sclera. (NCI)	Choroid
C12345	C77529		Specimen	EYE, CILIARY BODY		Circumferential tissue located behind the iris and composed of muscle and epithelium.	Ciliary Body
C12342	C77529		Specimen	EYE, CORNEA		The transparent, avascular tissue covering the front of the eye and is continuous with the sclera.	Cornea
C12737	C77529		Specimen	EYE, IRIS		The tissue in the eye that separates the anterior chamber from the posterior chamber.	Iris
C12743	C77529		Specimen	EYE, LENS	Crystalline Lens; Ocular Lens	The structure of the eye through which light is focused onto the retina.	Lens
C12900	C77529		Specimen	EYE, POSTERIOR CHAMBER	Eye, Posterior Compartment	A space within the eye located between the iris and the lens. It is filled with aqueous humor. (NCI)	Posterior Chamber of the Eye
C49328	C77529		Specimen	EYE, RETINA		The sensory tissue in the posterior portion of the eye that contains photoreceptors.	Retina Layer
C12784	C77529		Specimen	EYE, SCLERA		The fibrous, outer tunic of the eyeball that is continuous with the cornea.	Sclera
C12811	C77529		Specimen	EYE, UVEA	Uvea	The pigmented layer of the eyeball between the tough, white outer coat of the eye and the retina. (NCI)	Uvea
C33884	C77529		Specimen	EYE, VITREOUS		The clear gelatinous material that occupies the space between the lens and the retina.	Vitreous Body
C12713	C77529		Specimen	EYELID	Palpebra	The section of skin, containing muscle and conjunctiva, that covers and protects the eye.	Eyelid
C13071	C77529		Specimen	FACE		The portion of the head that contains the structures such as the eyes, nose, mouth, and jaws.	Face
C13234	C77529		Specimen	FECES	Feces	The material discharged from the bowel during defecation. It consists of undigested food, intestinal mucus, epithelial cells, and bacteria. (NCI)	Feces
C17730	C77529		Specimen	FETUS		Any prenatal tissue that has developed past the embryonic stage.	Fetal Tissue
C13236	C77529		Specimen	FLUID		Liquid substances produced by the body.	Body Fluid or Substance
C77611	C77529		Specimen	FLUID, ABDOMINAL		The fluid within the abdomen, which may contain peritoneal or other fluids.	Abdominal Fluid
C13188	C77529		Specimen	FLUID, AMNIOTIC	Aqua Amnii	The fluid within the amniotic cavity which surrounds and protects the developing embryo. (NCI)	Amniotic Fluid
C13195	C77529		Specimen	FLUID, BRONCHOALVEOLAR LAVAGE	Bronchial Lavage Fluid; Fluid, Bronchial Lavage	Fluid introduced into, and collected from, the lungs by a bronchoalveolar lavage procedure. (NCI)	Bronchoalveolar Lavage Fluid
C12692	C77529		Specimen	FLUID, CEREBROSPINAL	CSF	The fluid that is contained within the brain ventricles, the subarachnoid space and the central canal of the spinal cord. (NCI)	Cerebrospinal Fluid
C3319	C77529		Specimen	FLUID, PERICARDIAL		The fluid within the pericardial cavity.	Pericardial Effusion
C77612	C77529		Specimen	FLUID, PERITONEAL		The fluid within the peritoneal cavity.	Peritoneal Fluid
C77613	C77529		Specimen	FLUID, PLEURAL		The fluid within the pleural cavity.	Pleural Fluid
C33718	C77529		Specimen	FLUID, SYNOVIAL	Synovia	The fluid within a joint capsule.	Synovial Fluid
C125897	C77529		Specimen	FLUID, THORAX		Fluid that is present in the thoracic cavity.	Thoracic Fluid
C32622	C77529		Specimen	FOOT		The entire structure distal to the ankle joint/tarsus, which includes the metatarsus and digit(s).	Foot
C92654	C77529		Specimen	FOOTPAD		A thick, spongy layer of tissue located under the metacarpal and metatarsal joints of the foot. It consists of a pad of adipose tissue covered by a thick epidermis containing dermal sweat glands.	Footpad
C176321	C77529		Specimen	FORELIMB		The anterior, front or upper limb of an animal.	Fore Limb
C12377	C77529		Specimen	GALLBLADDER		A sac-like organ located adjacent to the liver that stores and concentrates bile produced by the liver.	Gallbladder
C12719	C77529		Specimen	GANGLION	Ganglia; Ganglion; Neural Ganglion	A cluster of nervous tissue principally composed of neuronal cell bodies external to the central nervous system (CNS). (NCI)	Ganglion
C98713	C77529		Specimen	GANGLION, CERVICAL		Any of the sympathetic ganglia of the cervical vertebrae.	Cervical Ganglia
C92211	C77529		Specimen	GANGLION, CERVICOTHORACIC		A sympathetic ganglion located near the junction of the cervical region and thorax.	Inferior Cervical Ganglion
C214763	C77529		Specimen	GANGLION, CILIARY		A peripheral parasympathetic ganglion located posterior to the eyeball.	Ciliary Ganglion
C12462	C77529		Specimen	GANGLION, DORSAL ROOT	Spinal Ganglion	Sensory ganglia located on the dorsal spinal roots within the vertebral column. (MeSH)	Dorsal Root Ganglion
C198407	C77529		Specimen	GANGLION, LUMBAR		Any of the sympathetic ganglion of the lumbar vertebrae.	Lumbar Ganglion
C202464	C77529		Specimen	GANGLION, MESENTERIC		Any of the sympathetic ganglia associated with the mesenteric plexus.	Mesenteric Ganglion
C179825	C77529		Specimen	GANGLION, SPIRAL	Cochlear Ganglion	The sensory ganglion within the modiolus of the cochlea.	Spiral Ganglion
C52829	C77529		Specimen	GANGLION, THORACIC		Any of the sympathetic ganglion of the thoracic vertebrae.	Thoracic Ganglion
C62642	C77529		Specimen	GANGLION, TRIGEMINAL	Gasserian Ganglion	Large sensory ganglion of the trigeminal nerve.	Trigeminal Ganglion
C92214	C77529		Specimen	GANGLION, TRIGEMINAL/NERVE, TRIGEMINAL		A specimen that contains the trigeminal ganglion and the trigeminal nerve.	Trigeminal Ganglion/Trigeminal Nerve
C77614	C77529		Specimen	GASTRIC CONTENTS	Stomach Contents	The contents of the stomach that may include undigested food mixed with juices secreted by the gastric mucosal glands. (NCI)	Gastric Content
C92593	C77529		Specimen	GILLS		A respiratory organ found in aquatic animals that allows for the exchange of dissolved oxygen from water into the blood stream. (NCI)	Gill
C32677	C77529		Specimen	GINGIVA	Gum	The soft tissue surrounding the neck of individual teeth as well as covering the alveolar bone. The tissue is fibrous and continuous with the periodontal ligament and mucosal covering. (NCI)	Gingiva
C77616	C77529		Specimen	GLAND OF THE THIRD EYELID	Nictitans Gland	A gland producing tears in a third eyelid.	Gland of the Third Eyelid
C12666	C77529		Specimen	GLAND, ADRENAL		The endocrine glands adjacent to the kidneys that consist of the outer adrenal cortex and the inner adrenal medulla in mammals.	Adrenal Gland
C77955	C77529		Specimen	GLAND, AMPULLARY		The exocrine glands of the male reproductive system located at the terminal portion of the ductus deferens.	Ampullary Gland
C125895	C77529		Specimen	GLAND, ANAL SAC		Apocrine gland located in the wall of the anal sac.	Experimental Organism Anal Sac Gland
C13010	C77529		Specimen	GLAND, BRUNNER'S		A compound tubular gland located in the submucosa of the proximal part of the duodenum.	Brunner's Gland
C32395	C77529		Specimen	GLAND, BULBOURETHRAL	Cowper's Gland	The exocrine glands of the male reproductive system located at the base of the penis.	Cowper Gland
C77610	C77529		Specimen	GLAND, CIRCUMANAL		Superficial sebaceous glands located around the anus and contain fat. (Textbook of Small Animal Surgery - Volume 1. Slatter D (Ed.) (2003) Elsevier Health Sciences, Philadelpha PA)	Circumanal Gland
C77617	C77529		Specimen	GLAND, CLITORAL		Exocrine gland of the female reproductive system located under the skin adjacent to the vulva.	Clitoral Gland
C77618	C77529		Specimen	GLAND, COAGULATING		The portion of the prostate, which when present, is adjacent to the seminal vesicles.	Coagulating Gland
C33842	C77529		Specimen	GLAND, ENDOMETRIAL		The glands present in the endometrium or inner layer of the uterus.	Uterine Gland
C77619	C77529		Specimen	GLAND, HARDERIAN		The accessory sebaceous glands of the orbit.	Harderian Gland
C12346	C77529		Specimen	GLAND, LACRIMAL		The exocrine glands that produce the watery serous component of tears.	Lacrimal Gland
C12367	C77529		Specimen	GLAND, MAMMARY		The exocrine glands of the mammae that produce milk in females, and are composed of lobules, alveolar ducts and alveoli.	Mammary Gland
C33075	C77529		Specimen	GLAND, MEIBOMIAN		A sebaceous gland in the eyelid that produces meibum.	Meibomian Gland
C12765	C77529		Specimen	GLAND, PARATHYROID		Endocrine gland, usually in close proximity to the thyroid gland, that produces parathyroid hormone.	Parathyroid Gland
C77620	C77529		Specimen	GLAND, PERIANAL		Deep sebaceous glands located around the anus and contain no fat. (Textbook of Small Animal Surgery - Volume 1. Slatter D (Ed.) (2003) Elsevier Health Sciences, Philadelpha PA)	Perianal Gland
C12398	C77529		Specimen	GLAND, PINEAL	Pineal Body	A small endocrine gland that arises from the central posterior aspect of the diencephalon.	Pineal Gland
C12399	C77529		Specimen	GLAND, PITUITARY	Hypophysis; Hypophysis Cerebri	A small endocrine gland extending from the hypothalamus at the base of the brain.	Pituitary Gland
C79432	C77529		Specimen	GLAND, PREPUTIAL		Exocrine glands of the male reproductive system located adjacent to the prepuce.	Preputial Gland
C117978	C77529		Specimen	GLAND, PREPUTIAL/GLAND, CLITORAL		A specimen that contains either the preputial or clitoral glands.	Preputial Gland/Clitoral Gland
C77622	C77529		Specimen	GLAND, PROSTATE DORSOLATERAL		A lobe of the prostate gland located on the dorsolateral aspect of the proximal urethra.	Dorsolateral Prostate Gland
